Location id	1	2	3	4	5	6	7	8	9
Location latitude	41.9	43.8	44.5	46.3	47.5	49.1	50.6	52.0	53.1
Location longitude	2.7	2.2	2.6	3.7	4.7	5.7	6.8	8.9	10.3
1951	0.977	0.961	0.831	0.928	0.814	0.84	0	0	0.856
1952	0.992	0	0	0	0	0	0.927	0	0.92
1953	0.988	0.867	0	0.942	0.912	0.804	0	0	0
1954	0.972	0.957	0	0.921	0	0.814	0	0	0
1955	0.991	0	0.866	0.97	0.959	0	0	0	0
1956	0.956	0.688	0	0	0	0	0	0	0
1957	0.993	0.961	0.969	0	0.907	0.961	0.88	0.887	0.919
1958	0.989	0.852	0	0.892	0.942	0.892	0	0	0
1959	0.996	0.991	0.986	0.977	0.976	0.97	0.975	0.751	0
1960	0.918	0.924	0.863	0.982	0.967	0.95	0.872	0.945	0.934
1961	0.993	0.972	0.926	0.987	0.984	0.972	0.943	0.929	0.841
1962	0.994	0.974	0.976	0.97	0	0	0.885	0.82	0.86
1963	0.906	0	0	0	0	0	0	0	0
1964	0	0.927	0	0.975	0.954	0.947	0.872	0.793	0.887
1965	0.986	0.971	0	0.909	0	0.822	0.828	0	0.9
1966	0.995	0.988	0.982	0.972	0.835	0.941	0.897	0	0
1967	0.983	0.912	0.902	0.971	0.908	0.947	0.94	0.925	0.951
1968	0.965	0.915	0	0.831	0	0	0.837	0	0
1969	0.982	0.937	0	0.919	0	0.85	0.839	0	0
1970	0.988	0.937	0	0.832	0	0	0	0	0
1971	0.96	0.844	0	0	0.693	0	0	0	0
1972	0.995	0.99	0.98	0.986	0.973	0.963	0	0	0.836
1973	0.993	0.982	0	0.972	0.932	0.963	0.953	0.952	0.964
1974	0.995	0.977	0.837	0.957	0.949	0.924	0.949	0.922	0.953
1975	0.973	0.971	0.963	0.968	0.95	0.944	0.884	0.945	0.967
1976	0.992	0.986	0.978	0.97	0.923	0	0	0.838	0
1977	0.993	0.986	0.98	0.972	0.938	0.937	0.929	0	0.907
1978	0.99	0.983	0.943	0.85	0.915	0.88	0	0	0
1979	0.993	0.983	0.922	0.963	0.84	0.787	0	0	0
1980	0.993	0.983	0.909	0.984	0.979	0.979	0.97	0.927	0.904
1981	0.986	0.948	0.756	0.941	0.94	0.951	0.805	0.871	0.878
1982	0.996	0.989	0.985	0.985	0.965	0.929	0	0.875	0
1983	0.898	0.981	0.935	0.946	0.967	0.974	0.866	0.858	0.836
1984	0.993	0.982	0.978	0.975	0.957	0.959	0.946	0.95	0.955
1985	0.955	0	0	0	0	0	0	0	0
1986	0.982	0.968	0	0.898	0	0	0	0	0
1987	0.98	0.936	0	0	0	0.863	0	0	0
1988	0.995	0.969	0.983	0.984	0.901	0.982	0.949	0.949	0.953
1989	0.995	0.99	0.986	0.983	0.976	0.963	0.972	0.982	0.981
1990	0.995	0.994	0.99	0.986	0.981	0.984	0.963	0.976	0.969
1991	0.99	0.977	0.945	0.951	0.866	0.913	0.886	0.838	0.908
1992	0.994	0.979	0.977	0.977	0.973	0.975	0.977	0.973	0.968
1993	0.994	0.98	0.98	0.976	0.958	0.947	0.7	0.915	0.927
1994	0.995	0.989	0.976	0.986	0.971	0.96	0.94	0.898	0
1995	0.996	0.991	0.988	0.987	0.976	0.974	0.954	0.93	0.943
1996	0.994	0.982	0.903	0.978	0.962	0.928	0.915	0	0
1997	0.996	0.989	0.983	0.977	0.949	0.777	0	0	0
1998	0.993	0.988	0.982	0.952	0.951	0.952	0.779	0.637	0.81
1999	0.993	0.982	0.979	0.942	0.917	0.968	0.948	0.888	0.961
2000	0.994	0.988	0.986	0.984	0.973	0.97	0.978	0.979	0.982
