Location id	1	2	3	4	5	6	7	8	9
Location latitude	42.0	43.8	44.5	46.3	47.5	49.1	50.6	52.0	53.1
Location longitude	2.0	2.2	2.6	3.7	4.7	5.7	6.8	8.9	10.3
1952	281	282	278	280	278	280	279	280	282
1953	287	291	287	288	285	287	285	285	287
1954	284	284	282	284	282	285	284	285	286
1955	285	289	285	286	284	286	285	286	289
1956	285	286	282	285	283	286	284	285	287
1957	284	283	279	281	279	282	281	281	283
1958	291	294	290	291	288	291	289	290	291
1959	284	291	287	292	290	292	288	290	289
1960	285	285	281	283	281	284	284	286	288
1961	291	297	292	298	295	298	294	295	295
1962	294	297	291	289	285	286	283	285	286
1963	281	282	279	282	281	285	283	285	287
1964	290	291	287	290	288	288	285	286	288
1965	279	283	279	281	279	282	283	285	287
1966	289	292	289	292	290	291	288	289	290
1967	285	289	282	285	282	286	285	288	291
1968	286	287	282	284	282	286	285	288	290
1969	280	284	282	285	284	287	286	288	292
1970	290	293	288	288	286	288	286	286	287
1971	285	289	284	285	282	285	283	284	287
1972	277	281	279	279	277	280	278	280	282
1973	285	287	285	287	286	289	287	288	288
1974	281	280	278	280	279	282	281	283	285
1975	284	286	283	285	284	287	286	288	290
1976	280	286	281	285	282	287	286	287	289
1977	282	283	281	281	279	283	281	284	285
1978	287	288	283	282	279	281	281	282	285
1979	283	289	285	287	285	289	287	287	287
1980	289	289	285	288	285	287	285	287	288
1981	287	290	286	287	284	287	285	287	289
1982	285	287	284	287	286	290	289	292	294
1983	290	292	288	289	286	288	287	288	290
1984	281	281	279	281	280	284	283	284	286
1985	293	297	292	293	289	290	287	287	289
1986	289	294	287	284	281	281	279	280	282
1987	292	296	291	293	289	291	287	287	287
1988	289	288	284	285	283	285	284	285	288
1989	285	287	284	284	283	286	286	288	290
1990	290	292	286	286	282	283	281	282	285
1991	292	295	291	292	289	292	290	290	292
1992	287	287	284	285	283	285	284	285	287
1993	281	284	280	282	279	284	282	283	285
1994	287	286	282	283	281	283	282	283	284
1995	281	284	279	281	279	284	285	287	291
1996	279	279	277	279	277	280	278	280	282
1997	290	294	289	291	287	289	287	287	288
1998	286	285	281	283	280	284	283	284	285
1999	289	293	288	291	288	291	291	293	296
2000	289	289	285	287	284	287	286	288	288
2001	289	288	282	283	279	282	282	284	287
2002	283	285	282	284	282	285	283	285	287
2003	289	292	287	288	285	287	285	286	288
2004	292	292	287	290	288	289	287	288	289
2005	286	290	286	290	289	292	290	292	293
2006	290	295	290	293	291	295	296	298	300
2007	288	290	285	284	281	284	283	285	287
2008	285	287	282	283	280	283	282	285	288
2009	291	291	288	289	286	289	287	288	289
2010	288	290	286	285	281	285	284	285	286
2011	295	297	291	292	288	291	290	290	291
2012	294	293	288	289	286	287	284	286	288
2013	287	289	285	287	285	287	285	286	287
2014	292	297	290	292	288	291	289	293	296
2015	286	288	284	286	284	286	283	285	286
2016	293	296	292	294	291	293	292	295	296
2017	290	288	283	287	283	285	283	285	289
2018	292	299	295	298	293	295	291	293	296
2019	294	297	291	296	291	293	288	288	290
2020	288	290	287	291	289	292	289	289	291
