Location id	1	2	3	4	5	6	7	8	9
Location latitude	41.9	43.8	44.5	46.3	47.5	49.1	50.6	52.0	53.1
Location longitude	2.7	2.2	2.6	3.7	4.7	5.7	6.8	8.9	10.3
1951	0.999	0.999	0.999	0.999	0.999	0.998	0	0	0.999
1952	0.998	0	0	0	0	0	0.998	0	0.999
1953	0.998	0.999	0	0.999	0.998	0.998	0	0	0
1954	0.999	0.999	0	0.999	0	0.998	0	0	0
1955	0.998	0	0.998	0.998	0.999	0	0	0	0
1956	0.999	0.998	0	0	0	0	0	0	0
1957	0.998	0.998	0.999	0	0.999	0.999	0.999	0.999	0.998
1958	0.998	0.999	0	0.998	0.998	0.999	0	0	0
1959	0.998	0.998	0.998	0.998	0.999	0.998	0.998	0.998	0
1960	0.999	0.998	0.998	0.999	0.998	0.998	0.998	0.999	0.998
1961	0.998	0.998	0.998	0.998	0.999	0.999	0.998	0.999	0.999
1962	0.998	0.998	0.999	0.999	0	0	0.999	0.999	0.999
1963	0.998	0	0	0	0	0	0	0	0
1964	0	0.998	0	0.998	0.999	0.999	0.999	0.999	0.999
1965	0.999	0.998	0	0.999	0	0.999	0.998	0	0.999
1966	0.998	0.999	0.998	0.998	0.998	0.999	0.999	0	0
1967	0.999	0.999	0.999	0.999	0.999	0.999	0.998	0.998	0.999
1968	0.999	0.998	0	0.999	0	0	0.998	0	0
1969	0.998	0.999	0	0.999	0	0.998	0.999	0	0
1970	0.998	0.998	0	0.999	0	0	0	0	0
1971	0.999	0.999	0	0	0.998	0	0	0	0
1972	0.999	0.998	0.999	0.998	0.998	0.998	0	0	0.999
1973	0.999	0.999	0	0.998	0.998	0.999	0.998	0.999	0.999
1974	0.999	0.999	0.999	0.999	0.999	0.999	0.999	0.998	0.999
1975	0.998	0.999	0.999	0.999	0.999	0.998	0.998	0.999	0.999
1976	0.998	0.999	0.998	0.998	0.998	0	0	0.999	0
1977	0.998	0.999	0.999	0.998	0.998	0.999	0.998	0	0.999
1978	0.999	0.999	0.998	0.999	0.998	0.998	0	0	0
1979	0.998	0.999	0.999	0.999	0.998	0.998	0	0	0
1980	0.998	0.999	0.999	0.999	0.999	0.998	0.999	0.998	0.999
1981	0.998	0.998	0.998	0.999	0.998	0.999	0.998	0.998	0.999
1982	0.998	0.999	0.998	0.999	0.999	0.998	0	0.998	0
1983	0.999	0.999	0.999	0.998	0.998	0.999	0.998	0.999	0.998
1984	0.998	0.998	0.998	0.999	0.998	0.999	0.999	0.999	0.998
1985	0.998	0	0	0	0	0	0	0	0
1986	0.999	0.999	0	0.999	0	0	0	0	0
1987	0.999	0.998	0	0	0	0.999	0	0	0
1988	0.998	0.999	0.999	0.999	0.999	0.998	0.999	0.999	0.999
1989	0.999	0.999	0.998	0.999	0.998	0.998	0.999	0.999	0.999
1990	0.999	0.999	0.998	0.998	0.999	0.999	0.998	0.999	0.999
1991	0.998	0.998	0.998	0.999	0.999	0.999	0.999	0.998	0.999
1992	0.999	0.998	0.998	0.998	0.999	0.999	0.999	0.999	0.998
1993	0.999	0.999	0.998	0.998	0.999	0.999	0.999	0.999	0.998
1994	0.998	0.999	0.998	0.999	0.998	0.999	0.999	0.999	0
1995	0.998	0.999	0.999	0.999	0.999	0.998	0.999	0.999	0.999
1996	0.999	0.999	0.999	0.998	0.998	0.998	0.999	0	0
1997	0.998	0.999	0.999	0.999	0.998	0.998	0	0	0
1998	0.998	0.999	0.998	0.999	0.998	0.999	0.999	0.999	0.998
1999	0.998	0.998	0.999	0.999	0.998	0.998	0.998	0.999	0.999
2000	0.998	0.999	0.999	0.999	0.999	0.999	0.998	0.999	0.999
