Location id	1	2	3	4	5	6	7	8	9
Location latitude	41.9	43.8	44.5	46.3	47.5	49.1	50.6	52.0	53.1
Location longitude	2.7	2.2	2.6	3.7	4.7	5.7	6.8	8.9	10.3
1951	365	133.228	118.931	116.126	114.794	117.82	120.41	120.591	117.682
1952	366	366	108.527	107.003	108.676	108.743	111.692	113.998	118.34
1953	365	109.272	110.465	107.969	108.916	107.498	110.044	109.113	108.19
1954	365	365	123.475	121.077	120.456	116.934	126.412	128.382	128.196
1955	365	365	120.866	120.645	120.891	121.504	126.137	127.217	126.394
1956	366	366	127.173	126.642	125.678	123.34	127.887	128.807	129.821
1957	365	365	104.906	142.066	108.538	113.381	115.176	117.68	121.265
1958	365	126.629	123.053	124.068	124.573	126.003	128.143	129.65	130.9
1959	365	365	365	120.415	103.816	105.087	105.026	104.675	105.256
1960	366	366	148.536	340.808	119.367	120.812	110.76	112.799	118.091
1961	365	365	365	365	122.858	124.495	124.464	114.231	113.541
1962	365	365	126.466	126.289	125.278	124.934	127.06	124.853	123.486
1963	365	111.24	112.466	109.761	113.745	113.991	119.344	120.605	122.1
1964	366	366	123.229	119.259	116.017	114.622	118.754	120.361	122.878
1965	365	113.793	111.523	109.877	117.217	117.862	123.289	123.993	124.154
1966	365	365	365	365	124.868	122.752	121.215	114.201	116.209
1967	365	153.38	107.123	128.371	109.591	109.739	113.782	113.581	112.243
1968	366	132.202	115.37	112.301	111.022	111.7	112.283	112.575	112.894
1969	365	365	132.762	120.602	115.145	115.564	121.538	124.68	126.902
1970	365	133.414	126.286	126.044	126.145	125.211	126.703	127.547	127.883
1971	365	365	119.754	118.864	116.676	118.988	124.432	125.242	126.386
1972	366	366	119.577	113.617	110.996	113.838	117.614	117.19	120.357
1973	365	127.294	124.847	122.834	123.35	121.186	124.313	124.55	123.662
1974	365	363.958	119.933	119.953	112.352	110.896	114.933	114.507	116.721
1975	365	365	135.259	136.601	130.709	133.581	134.396	134.093	134.697
1976	366	141.791	114.521	108.355	110.917	114.036	121.812	123.083	124.675
1977	365	365	144.037	143.225	118.644	123.263	115.794	116.584	116.034
1978	365	365	133.634	130.858	116.793	115.226	118.546	117.962	119.586
1979	365	365	139.182	134.108	127.513	120.014	128.939	130.228	129.608
1980	366	350.277	128.566	128.371	124.891	123.53	125.974	123.906	123.781
1981	365	102.031	101.147	99.087	100.671	100.475	103.56	104.952	109.384
1982	365	365	133.099	133.102	123.165	119.96	124.903	123.775	122.706
1983	365	365	120.563	132.552	122.357	124.446	121.885	119.977	119.15
1984	366	136.118	120.597	119.367	121.195	120.902	125.774	125.035	124.23
1985	365	365	133.421	130.777	132.134	126.479	129.383	126.03	125.053
1986	365	124.689	120.991	121.173	125.409	122.826	125.221	124.117	123.91
1987	365	365	121.051	119.008	118.198	118.23	123.993	127.468	126
1988	366	366	131.663	366	120.067	120.817	124.056	124.952	124.825
1989	365	365	126.007	114.757	110.124	113.334	119.664	116.319	118.575
1990	365	365	365	365	135.475	135.559	131.661	130.368	128.436
1991	365	157.722	108.503	140.623	103.45	104.051	104.777	105.724	107.755
1992	366	338.719	113.195	112.494	113.062	113.777	114.993	113.083	114.715
1993	365	365	365	365	118.985	124.376	116.929	116.282	116.292
1994	365	365	135.467	139.406	112.17	112.813	113.484	113.676	114.422
1995	365	365	365	365	146.201	365	135.271	128.775	127.478
1996	366	366	156.763	120.855	116.74	115.994	118.585	118.596	117.865
1997	365	365	365	365	110.101	122.165	112.593	114.673	115.63
1998	365	365	365	365	129.319	128.303	126.223	122.616	121.486
1999	365	365	112.754	115.75	111.623	113.684	112.971	111.95	112.063
2000	366	366	117.683	117.735	112.941	114.459	115.033	115.121	116.417
