Location id	1	2	3	4	5	6	7	8	9
Location latitude	42.0	43.8	44.5	46.3	47.5	49.1	50.6	52.0	53.1
Location longitude	2.0	2.2	2.6	3.7	4.7	5.7	6.8	8.9	10.3
1952	179	366	175	176	181	181	187	190	192
1953	180	180	186	180	184	180	187	184	182
1954	200	365	200	196	203	196	205	204	197
1955	365	365	189	187	195	196	205	207	204
1956	191	366	199	195	201	198	208	205	200
1957	184	365	186	198	187	186	192	191	191
1958	180	190	192	190	196	195	201	200	198
1959	365	365	365	184	182	180	186	181	182
1960	185	366	203	366	188	187	194	195	192
1961	365	365	365	365	195	195	207	196	191
1962	190	365	195	197	205	202	215	213	209
1963	181	185	191	187	195	190	200	196	191
1964	185	366	185	182	184	182	190	190	191
1965	178	181	187	187	196	194	203	202	202
1966	365	365	365	365	194	189	193	184	183
1967	181	204	189	193	194	190	196	194	192
1968	185	193	191	189	194	190	196	192	187
1969	195	365	200	192	196	191	199	198	197
1970	185	191	192	190	195	192	198	195	193
1971	193	365	192	188	192	189	194	193	191
1972	192	366	200	198	203	200	203	201	198
1973	185	185	188	185	190	187	195	194	190
1974	186	365	193	192	199	195	205	203	200
1975	194	365	199	200	201	198	207	204	201
1976	185	190	182	177	181	181	186	188	189
1977	203	365	210	205	198	194	201	196	192
1978	201	365	205	201	204	198	207	203	198
1979	194	365	200	195	196	194	199	197	194
1980	200	366	209	205	210	206	210	208	205
1981	178	182	188	186	193	189	195	191	189
1982	365	365	189	188	190	188	193	192	191
1983	189	365	190	193	194	193	196	193	192
1984	194	199	199	196	205	203	213	211	204
1985	205	365	195	195	200	195	203	198	195
1986	177	183	185	184	191	187	195	194	188
1987	190	365	194	193	198	197	209	208	205
1988	366	366	196	366	193	188	197	193	190
1989	365	365	186	181	186	184	189	188	187
1990	365	365	365	365	201	200	204	203	200
1991	186	207	193	197	196	193	204	203	200
1992	181	366	185	180	185	181	185	182	179
1993	365	365	365	365	186	184	184	183	183
1994	190	365	192	194	184	183	189	188	187
1995	365	365	365	365	205	365	201	200	198
1996	366	366	208	188	194	194	204	204	202
1997	365	365	365	365	190	193	194	192	190
1998	365	365	365	365	193	191	195	194	191
1999	182	365	181	181	184	183	187	187	186
2000	366	366	183	180	181	179	184	180	179
2001	365	365	365	365	205	203	199	197	196
2002	365	365	191	186	186	185	190	190	187
2003	365	365	365	365	178	182	182	179	178
2004	366	366	192	192	196	193	201	200	196
2005	168	173	175	176	181	180	187	190	189
2006	170	171	176	177	183	182	187	187	186
2007	365	365	365	365	365	365	365	365	365
2008	366	366	186	187	185	185	188	186	184
2009	170	179	176	175	182	180	187	183	183
2010	189	365	188	185	190	187	193	191	190
2011	177	365	175	170	175	172	179	179	178
2012	366	366	201	366	193	190	192	187	187
2013	365	365	196	195	198	195	200	198	193
2014	365	365	365	365	183	180	186	187	190
2015	365	365	184	365	183	184	189	192	191
2016	366	366	366	366	203	205	200	192	189
2017	365	365	365	365	177	174	181	182	184
2018	181	365	179	177	175	171	176	170	169
2019	365	365	365	365	190	191	189	186	183
2020	366	366	366	366	188	366	192	191	194
