Location id	1	2	3	4	5	6	7	8	9
Location latitude	41.9	43.8	44.5	46.3	47.5	49.1	50.6	52.0	53.1
Location longitude	2.7	2.2	2.6	3.7	4.7	5.7	6.8	8.9	10.3
1951	0.997	0.997	0.994	0.996	0.995	0.995	0.978	0.984	0.994
1952	0.998	0.996	0.991	0.994	0.993	0.994	0.995	0.991	0.991
1953	0.998	0.994	0.985	0.994	0.989	0.988	0.989	0.977	0.987
1954	0.998	0.996	0.991	0.994	0.989	0.988	0.992	0.99	0.991
1955	0.999	0.997	0.993	0.991	0.983	0.986	0.989	0.986	0.987
1956	0.997	0.993	0.935	0.968	0.969	0.979	0.899	0.936	0.936
1957	0.999	0.995	0.962	0.987	0.985	0.994	0.991	0.546	0.823
1958	0.998	0.997	0.982	0.996	0.994	0.987	0.992	0.985	0.92
1959	0.999	0.998	0.996	0.997	0.996	0.996	0.997	0.996	0.993
1960	0.995	0.996	0.995	0.998	0.997	0.996	0.994	0.994	0.983
1961	0.999	0.998	0.996	0.998	0.996	0.997	0.996	0.996	0.995
1962	0.996	0.993	0.986	0.992	0.981	0.989	0.981	0.914	0.994
1963	0.996	0.991	0.991	0.991	0.988	0.979	0.978	0.973	0.981
1964	0.993	0.997	0.996	0.997	0.994	0.995	0.993	0.994	0.995
1965	0.998	0.997	0.986	0.996	0.995	0.995	0.992	0.954	0.981
1966	0.998	0.998	0.997	0.997	0.993	0.996	0.994	0.989	0.99
1967	0.998	0.987	0.963	0.995	0.99	0.99	0.995	0.99	0.995
1968	0.998	0.996	0.989	0.993	0.986	0.98	0.993	0.977	0.988
1969	0.998	0.997	0.983	0.988	0.988	0.995	0.982	0.994	0.934
1970	0.995	0.997	0.993	0.996	0.994	0.989	0.993	0.988	0.985
1971	0.998	0.995	0.988	0.987	0.994	0.993	0.987	0.991	0.99
1972	0.999	0.998	0.997	0.997	0.996	0.996	0.989	0.977	0.979
1973	0.998	0.996	0.987	0.993	0.991	0.986	0.987	0.98	0.978
1974	0.997	0.997	0.995	0.997	0.996	0.996	0.996	0.995	0.996
1975	0.998	0.996	0.994	0.995	0.99	0.991	0.994	0.961	0.995
1976	0.998	0.997	0.996	0.995	0.992	0.992	0.989	0.99	0.983
1977	0.999	0.998	0.997	0.998	0.996	0.996	0.996	0.994	0.996
1978	0.998	0.997	0.993	0.995	0.994	0.996	0.994	0.994	0.989
1979	0.998	0.997	0.994	0.996	0.992	0.989	0.95	0.938	0.968
1980	0.998	0.997	0.992	0.996	0.995	0.997	0.995	0.985	0.994
1981	0.998	0.997	0.989	0.996	0.992	0.996	0.994	0.994	0.994
1982	0.999	0.998	0.997	0.997	0.997	0.995	0.99	0.993	0.988
1983	0.997	0.997	0.996	0.996	0.994	0.994	0.995	0.995	0.994
1984	0.998	0.997	0.997	0.997	0.997	0.997	0.996	0.996	0.996
1985	0.986	0.989	0.961	0.975	0.977	0.983	0.978	0.977	0.982
1986	0.998	0.997	0.994	0.995	0.99	0.994	0.988	0.973	0.965
1987	0.998	0.996	0.987	0.99	0.988	0.993	0.987	0.948	0.967
1988	0.999	0.998	0.998	0.997	0.997	0.996	0.996	0.995	0.996
1989	0.999	0.998	0.997	0.996	0.996	0.995	0.997	0.996	0.996
1990	0.998	0.999	0.998	0.998	0.997	0.997	0.996	0.996	0.996
1991	0.997	0.962	0.992	0.994	0.993	0.991	0.994	0.994	0.995
1992	0.999	0.998	0.998	0.997	0.997	0.997	0.997	0.997	0.996
1993	0.998	0.998	0.998	0.997	0.997	0.995	0.996	0.995	0.996
1994	0.999	0.998	0.997	0.998	0.997	0.996	0.996	0.995	0.994
1995	0.999	0.997	0.994	0.994	0.98	0.936	0.954	0.911	0.85
1996	0.999	0.998	0.997	0.997	0.995	0.996	0.995	0.981	0.988
1997	0.999	0.998	0.998	0.997	0.996	0.992	0.984	0.984	0.984
1998	0.998	0.997	0.997	0.997	0.996	0.995	0.995	0.995	0.996
1999	0.997	0.997	0.997	0.997	0.995	0.997	0.995	0.995	0.994
2000	0.998	0.995	0.996	0.997	0.993	0.996	0.997	0.998	0.998
2001	0.998	0.998	0.998	0.998	0.995	0.996	0.996	0.996	0.996
2002	0.999	0.998	0.997	0.997	0.997	0.996	0.997	0.996	0.997
2003	0.998	0.963	0.994	0.991	0.993	0.991	0.994	0.967	0.986
2004	0.988	0.997	0.996	0.997	0.996	0.997	0.997	0.997	0.997
2005	0.997	0.996	0.996	0.996	0.991	0.995	0.995	0.996	0.995
2006	0.998	0.997	0.997	0.996	0.995	0.996	0.996	0.996	0.995
2007	0.998	0.998	0.997	0.997	0.997	0.998	0.998	0.998	0.998
2008	0.999	0.998	0.997	0.997	0.997	0.997	0.997	0.997	0.998
2009	0.996	0.985	0.988	0.997	0.997	0.997	0.993	0.974	0.997
2010	0.997	0.993	0.992	0.994	0.986	0.99	0.978	0.967	0.962
2011	0.999	0.998	0.997	0.997	0.996	0.997	0.996	0.994	0.994
2012	0.995	0.997	0.991	0.997	0.996	0.995	0.995	0.992	0.995
2013	0.999	0.996	0.996	0.997	0.995	0.995	0.991	0.994	0.995
2014	0.999	0.999	0.998	0.998	0.998	0.998	0.998	0.998	0.997
2015	0.998	0.998	0.997	0.998	0.997	0.997	0.996	0.997	0.998
2016	0.999	0.998	0.998	0.997	0.997	0.997	0.997	0.995	0.994
2017	0.998	0.998	0.996	0.995	0.991	0.995	0.993	0.996	0.996
2018	0.998	0.998	0.997	0.996	0.996	0.996	0.997	0.997	0.996
2019	0.999	0.998	0.998	0.997	0.997	0.996	0.997	0.997	0.997
2020	0.999	0.999	0.999	0.998	0.998	0.998	0.998	0.998	0.995
