Location id	1	2	3	4	5	6	7	8	9
Location latitude	42.0	43.8	44.5	46.3	47.5	49.1	50.6	52.0	53.1
Location longitude	2.0	2.2	2.6	3.7	4.7	5.7	6.8	8.9	10.3
1952	105.99	104.416	109.585	107.427	111.102	109.42	113.442	116.568	117.555
1953	113.729	109.783	115.693	112.335	115.005	113.723	120.002	120.276	119.783
1954	117.367	117.059	123.293	122.226	129.348	126.314	130.411	131.256	132.676
1955	111.01	112.242	116.053	118.462	122.16	123.902	131.295	133.903	133.281
1956	124.043	115.773	125.532	125.569	128.089	127.376	131.495	134.832	136.079
1957	103.319	97.494	108.626	107.827	113.51	112.554	117.657	121.535	128.677
1958	119.301	120.578	123.607	123.368	127.394	127.536	132.974	135.06	136.456
1959	105.356	101.526	106.842	103.73	111.211	107.178	113.211	110.462	113.049
1960	107.376	102.211	112.687	105.357	113.906	110.283	120.053	126.373	128.687
1961	98.145	96.548	99.995	99.511	102.687	101.928	106.273	110.607	111.885
1962	118.54	118.33	124.345	124.31	127.682	126.796	134.158	132.02	131.275
1963	117.018	114.58	123.612	118.933	126.383	121.435	128.061	128.265	129.664
1964	114.98	112.236	118.111	115.788	121.312	118.94	125.485	127.019	128.09
1965	112.939	108.597	119.681	118.916	126.001	123.911	131.385	132.54	132.853
1966	110.531	109.649	116.536	115.013	119.74	116.89	120.503	121.404	122.448
1967	109.213	109.896	117.235	117.549	125.294	123.641	129.059	129.145	127.474
1968	114.843	111.121	113.901	112.51	117.702	115.22	118.469	117.121	115.546
1969	115.784	113.891	118.113	117.894	122.917	122.542	128.949	131.571	132.699
1970	114.83	124.301	130.27	127.342	133.773	132.271	133.733	133.459	132.281
1971	119.775	115.374	119.38	117.809	121.389	121.706	127.701	128.535	128.863
1972	115.117	111.796	120.039	115.029	122.514	121.127	124.953	124.84	124.274
1973	120.542	122.226	129.237	125.424	132.306	126.916	135.608	136.007	131.436
1974	119.459	110.781	115.056	110.392	115.096	108.965	121.327	122.037	122.88
1975	117.707	117.264	121.645	120.668	128.483	125.835	130.159	129.527	129.373
1976	118.222	112.427	120.262	116.896	124.927	125.745	128.711	129.302	130.095
1977	109.27	109.649	115.151	113.732	122.846	121.929	126.797	125.31	124.651
1978	117.528	118.305	124.236	120.02	125.566	122.254	125.269	124.698	125.864
1979	120.378	121.845	130.492	127.096	133.534	131.534	135.058	135.323	135.128
1980	115.784	120.774	126.401	125.512	130.771	126.552	133.43	134.851	136.947
1981	101.441	98.29	102.736	99.952	103.187	102.165	110.861	115.234	119.851
1982	115.372	115.37	121.72	123.723	132.367	130.03	134.575	134.898	134.358
1983	108.21	111.036	118.949	117.903	124.693	121.287	125.032	124.239	122.889
1984	119.638	117.555	120.433	121.562	128.194	127.931	138.024	135.873	133.818
1985	113.08	112.704	120.762	119.547	128.272	125.699	129.746	129.195	129.257
1986	120.905	122.547	129.382	127.982	132.229	128.584	130.832	128.994	127.308
1987	110.184	112.045	116.221	116.527	120.462	119.632	125.355	129.325	128.566
1988	109.894	112.972	118.904	113.884	122.245	120.835	126.591	127.2	125.643
1989	105.452	106.533	113.998	103.862	113.769	112.153	121.325	120.28	118.116
1990	102.838	102.798	110.425	108.587	116.229	114.615	118.096	117.386	114.447
1991	106.835	102.379	106.556	102.622	110.641	107.728	116.939	118.345	120.335
1992	112.486	113.691	116.061	116.153	121.015	118.951	125.187	126.259	124.81
1993	112.51	110.575	116.371	113.876	117.543	115.554	117.288	117.178	117.21
1994	99.053	108.175	114.579	111.004	117.178	115.99	118.949	119.536	119.584
1995	103.138	111.117	119.146	118.328	123.349	121.755	123.941	123.543	123.602
1996	112.115	111.564	117.1	116.705	120.699	120.89	129.057	130.424	129.26
1997	94.051	96.997	100.852	104.128	115.071	116.162	121.195	123.561	124.422
1998	108.332	112.799	118.436	114.25	120.793	116.205	119.302	116.906	116.936
1999	107.261	105.962	115.016	111.475	118.661	116.749	119.341	118.84	118.724
2000	109.411	111.186	116.178	115.228	119.793	117.326	118.271	117.826	117.767
2001	97.58	98.733	113.639	112.68	121.69	121.042	125.205	127.874	128.645
2002	107.239	102.312	110.158	107.919	114.505	114.841	120.947	123.64	124.04
2003	109.714	105.103	109.051	106.942	111.304	111.736	116.377	118.354	120.335
2004	116.702	116.824	122.482	119.842	123.296	119.691	121.058	120.804	120.158
2005	109.841	111.464	116.342	114.482	118.505	116.315	118.298	118.829	120.476
2006	104.638	106.999	113.489	114.454	122.167	122.156	125.012	125.636	125.796
2007	109.098	107.724	108.422	106.309	109.178	108.241	112.018	111.461	111.298
2008	108.392	112.146	118.923	117.551	124.09	120.665	125.245	125.079	123.606
2009	112.121	111.766	114.904	112.29	114.75	109.997	113.164	109.349	112.17
2010	114.119	111.2	114.855	113.571	117.513	117.106	119.475	120.358	121.236
2011	99.038	98.786	103.514	103.082	107.992	108.481	111.376	113.053	113.635
2012	106.345	105.805	113.696	113.111	118.054	117.524	119.345	119.24	119.048
2013	108.796	110.21	115.874	117.247	123.863	122.993	126.902	127.722	127.914
2014	102.609	103.268	106.013	103.826	108.231	106.016	107.492	108.448	111.108
2015	104.794	105.69	109.222	110.211	114.586	115.287	123.283	124.104	123.422
2016	110.39	110.354	114.803	115.875	125.324	124.987	128.208	127.514	127.08
2017	99.745	100.434	103.545	101.351	106.992	106.927	117.426	119.931	120.727
2018	112.213	108.34	111.165	108.981	110.875	110.502	111.398	111.148	113.636
2019	107.393	109.042	112.402	109.831	111.665	111.332	112.889	113.406	113.534
2020	106.627	102.868	106.417	104.889	107.452	107.46	111.485	114.981	117.601
