Location id	1	2	3	4	5	6	7	8	9
Location latitude	41.9	43.8	44.5	46.3	47.5	49.1	50.6	52.0	53.1
Location longitude	2.7	2.2	2.6	3.7	4.7	5.7	6.8	8.9	10.3
1951	59	53	50	49	48	48	48	48	47
1952	53	50	48	49	48	47	45	45	44
1953	57	55	52	50	49	48	49	50	49
1954	60	58	52	53	52	53	54	55	56
1955	65	56	50	51	48	49	50	51	51
1956	57	57	56	56	54	53	58	57	57
1957	52	50	46	48	47	47	47	48	48
1958	58	53	49	51	49	49	48	49	50
1959	59	49	45	46	45	46	45	46	47
1960	58	52	48	49	47	48	48	48	48
1961	53	51	47	48	46	47	47	48	47
1962	60	54	49	51	49	50	49	49	49
1963	55	54	52	53	54	58	62	64	62
1964	64	56	51	53	52	52	51	51	51
1965	51	45	45	44	44	44	45	45	45
1966	63	60	52	53	49	49	49	50	52
1967	55	52	49	51	50	49	47	47	46
1968	65	62	56	54	52	52	50	51	51
1969	68	61	56	55	53	52	51	51	52
1970	60	55	52	53	52	53	54	58	61
1971	60	56	52	52	49	50	49	49	49
1972	58	52	48	47	47	47	48	49	51
1973	57	52	48	47	46	46	44	45	45
1974	58	51	47	47	45	45	44	44	44
1975	51	47	44	45	43	44	43	43	43
1976	51	48	45	45	45	46	46	45	46
1977	54	48	45	47	46	47	47	47	47
1978	64	59	52	54	52	52	52	51	51
1979	61	54	50	51	51	51	55	58	59
1980	56	52	48	49	48	48	48	48	50
1981	51	48	47	47	47	47	48	49	49
1982	64	53	47	48	46	49	50	50	52
1983	59	53	49	50	48	48	49	48	48
1984	61	53	47	48	46	46	46	47	47
1985	64	62	57	58	56	56	58	57	57
1986	60	56	52	50	50	49	51	51	50
1987	62	58	55	57	55	53	55	57	56
1988	66	58	51	51	48	48	47	46	46
1989	64	59	53	52	49	49	47	46	46
1990	73	62	52	56	52	52	50	50	51
1991	59	57	53	55	54	53	53	52	51
1992	53	48	45	47	45	46	45	45	45
1993	57	52	47	48	45	46	45	45	45
1994	55	51	48	48	46	46	45	44	44
1995	68	60	53	56	52	51	50	48	47
1996	67	62	55	55	52	53	54	58	59
1997	64	55	49	50	50	54	53	54	52
1998	67	57	49	50	46	46	46	45	46
1999	57	51	47	49	48	48	48	48	48
2000	61	55	50	50	48	47	46	46	46
2001	61	55	49	52	49	50	49	49	50
2002	64	60	55	56	53	55	54	54	52
2003	63	56	51	53	50	52	49	49	49
2004	59	53	48	48	46	46	45	45	46
2005	60	53	49	50	49	49	48	47	46
2006	62	60	55	58	55	55	53	53	52
2007	77	68	59	62	56	56	54	53	53
2008	55	48	45	46	45	46	45	45	45
2009	58	52	49	49	48	49	50	50	49
2010	65	55	51	51	50	50	52	52	54
2011	55	50	48	49	48	49	49	50	51
2012	67	62	57	56	52	51	50	49	48
2013	61	57	51	53	50	51	51	50	50
2014	68	59	52	54	50	50	48	48	50
2015	72	64	57	56	51	51	51	51	51
2016	69	61	52	52	49	51	50	50	51
2017	66	57	50	49	48	47	47	46	47
2018	64	57	52	53	50	51	51	50	50
2019	68	61	55	57	53	53	52	52	51
2020	71	61	54	58	53	54	51	51	50
