Location id	1	2	3	4	5	6	7	8	9
Location latitude	41.9	43.8	44.5	46.3	47.5	49.1	50.6	52.0	53.1
Location longitude	2.7	2.2	2.6	3.7	4.7	5.7	6.8	8.9	10.3
1951	139.738	158.351	165.307	155.452	162.964	159.906	165.743	165.105	166.184
1952	116.209	129.188	138.969	133.01	139.411	138.007	139.748	143.426	144.603
1953	131.415	140.164	151.482	145.156	154.327	146.987	163.491	161.957	159.778
1954	134.631	161.322	166.716	164.626	169.058	167.552	171.26	169.074	164.377
1955	120.678	132.09	145.253	151.737	159.006	158.19	170.948	177.236	177.064
1956	143.529	152.183	163.188	154.739	164.133	162.144	171.678	170.19	165.27
1957	116.38	141.472	156.435	154.651	164.786	157.257	168.624	167.499	167.53
1958	134.252	148.347	152.732	151.639	156.84	156.39	160.298	159.315	159.536
1959	118.36	135.775	148.447	142.632	152.082	145.043	153.094	149.495	149.513
1960	128.894	144.048	149.762	145.886	149.973	147.107	154.954	156.799	156.515
1961	108.417	123.905	142.826	136.056	155.202	143.873	165.946	160.628	157.554
1962	133.693	153.813	165.35	163.695	172.039	170.875	178.795	176.464	173.509
1963	125.296	155.359	164.894	161.64	169.276	162.036	168.736	162.828	161.806
1964	127.568	140.061	148.498	144.633	151.421	150.561	155.394	155.042	154.207
1965	128.178	145.144	161.721	159.876	170.202	162.346	169.369	166.881	167.995
1966	124.584	145.726	152.142	145.457	157.226	152.236	160.612	157.055	156.527
1967	120.148	148.165	158.448	154.125	169.237	162.961	172.287	169.487	162.693
1968	129.713	138.56	152.756	153.708	159.75	155.685	160.543	159.823	155.261
1969	129.077	147.483	160.207	152.897	164.096	160.188	164.642	163.406	165.313
1970	139.912	154.395	159.077	153.98	160.533	156.437	162.502	164.919	165.66
1971	131.074	138.348	150.191	145.579	149.812	146.874	153.964	155.23	155.921
1972	142.169	159.222	170.825	164.288	176.378	168.553	171.489	168.594	164.722
1973	140.773	151.382	157.35	155.709	158.379	159.216	165.801	166.633	165.034
1974	140.118	154.507	161.067	153.427	158.789	151.096	169.909	170.104	168.733
1975	136.892	156.562	162.334	161.333	169.305	164.223	170.56	168.541	169.09
1976	139.42	150.323	159.255	149.061	160.293	157.45	165.116	167.151	167.797
1977	122.292	149.488	161.889	154.642	163.861	162.28	172.317	170.996	166.664
1978	142.632	161.177	168.743	163.154	172.612	164.217	173.109	166.18	163.482
1979	143.005	157.406	162.443	158.77	164.485	161.767	164.249	162.811	161.727
1980	140.685	161.545	171.469	163.754	169.411	162.828	169.184	169.729	169.166
1981	114.101	136.376	148.45	141.25	149.605	140.099	148.775	147.699	149.681
1982	136.044	151.325	157.324	158.679	162.238	161.249	162.831	164.058	163.392
1983	125.818	149.397	162.792	160.392	172.671	167.196	171.021	163.472	159.511
1984	139.444	163.221	173.167	168.639	175.739	169.441	176.244	168.386	161.231
1985	133.577	149.925	161	157.038	165.496	153.39	156.227	154.895	155.513
1986	138.719	153.812	163.19	162.641	167.71	163.519	166.377	164.569	162.198
1987	129.451	148.3	154.97	155.004	161.726	160.851	172.745	173.235	173.812
1988	121.182	139.625	147.675	141.903	153.006	147.368	153.34	152.953	152.651
1989	125.136	140.591	147.672	141.939	150.101	148.586	161.993	160.286	153.928
1990	128.965	136.362	140.622	140.317	145.283	146.13	152.429	152.424	148.504
1991	139.765	156.193	162.336	156.067	165.403	162.809	178.939	176.235	173.257
1992	127.119	147.44	150.54	150.202	154.119	155.206	160.834	160.488	159.168
1993	127.509	134.67	146.12	139.01	146.613	141.645	145.968	144.274	145.385
1994	120.187	140.333	145.963	142.693	149.972	145.827	158.483	154.188	153.02
1995	124.724	146.063	152.124	152.434	167.108	156.469	168.729	164.434	163.886
1996	123.87	144.413	155.325	152.932	159.376	160.986	167.928	166.389	163.668
1997	108.82	128.217	141.277	144.04	154.968	156.545	165.483	166.407	165.48
1998	125.946	145.754	152.466	146.394	152.399	147.869	151.652	150.742	149.6
1999	122.599	135.369	144.905	140.319	148.265	145.068	149.186	152.392	151.511
2000	124.503	141.71	149.348	147.513	153.789	148.443	147.325	145.61	143.564
2001	102.354	142.968	151.082	145.799	156.27	152.317	160.107	162.378	158.106
2002	118.887	138.905	154.592	142.979	155.261	150.207	153.756	154.062	151.573
2003	125.829	130.264	138.674	128.535	137.49	136.901	146.377	145.837	144.477
2004	137.25	151.535	156.37	154.739	160.025	153.093	160.273	159.089	155.422
2005	119.978	131.844	144.088	142.595	153.765	153.303	160.638	163.299	160.664
2006	115.291	132.43	144.387	141.65	154.732	147.108	159.255	160.921	158.989
2007	129.171	131.508	132.518	129.034	132.875	135.431	140.567	143.024	145.521
2008	122.462	143.797	149.024	148.77	152.779	149.927	154.707	154.457	153.551
2009	127.184	142.184	146.34	142.079	145.413	139.43	143.03	137.149	138.535
2010	127.681	143.529	152.531	149.34	159.306	157.988	164.229	165.95	164.955
2011	115.665	123.052	129.44	128.206	132.76	131.693	139.605	140.729	140.911
2012	123.401	137.863	147.564	147.842	154.87	152.411	157.729	160.323	160.581
2013	126.983	158.209	164.117	162.456	168.954	161.634	164.777	159.708	155.743
2014	112.836	135.098	149.856	141.663	148.738	140.637	144.842	143.788	145.765
2015	122.918	132.282	137.096	136.759	147.853	148.986	157.11	161.201	160.955
2016	124.907	142.897	154.208	153.366	161.022	156.98	160.678	158.386	157.595
2017	105.714	133.653	144.069	145.319	153.495	151.698	155.475	155.866	155.98
2018	124.97	136.873	143.293	135.2	139.984	134.816	135.972	133.489	136.21
2019	121.712	146.947	159.358	152.854	158.498	155.199	160.537	157.306	154.702
2020	121.987	122.408	128.348	124.46	130.807	135.276	145.321	151.699	154.837
