Location id	1	2	3	4	5
Location latitude	53.1	53.1	53.1	53.1	53.1
Location longitude	1.0	2.0	3.0	4.0	5.0
1951	11	11	11	11	12
1952	11	11	11	12	16
1953	11	11	11	11	11
1954	11	11	12	13	18
1955	11	11	11	12	15
1956	11	11	11	14	19
1957	11	11	12	13	18
1958	11	13	14	17	18
1959	11	11	11	11	11
1960	11	11	11	11	11
1961	11	11	12	16	18
1962	11	11	11	13	15
1963	11	11	11	12	14
1964	11	11	12	15	18
1965	11	11	11	12	15
1966	11	11	11	11	13
1967	11	11	11	11	11
1968	11	11	11	11	12
1969	12	14	16	16	16
1970	11	11	13	15	16
1971	11	11	12	16	16
1972	11	11	11	16	18
1973	11	11	11	14	18
1974	11	11	11	12	12
1975	11	11	12	13	21
1976	11	11	11	11	13
1977	11	11	11	11	11
1978	11	11	13	16	19
1979	11	11	11	14	15
1980	11	11	11	13	18
1981	11	11	13	16	18
1982	11	11	11	11	14
1983	11	11	12	16	18
1984	11	11	11	12	18
1985	11	12	12	12	15
1986	11	11	11	15	16
1987	11	11	11	12	18
1988	11	11	11	12	18
1989	11	11	11	11	13
1990	11	11	12	15	19
1991	11	11	11	12	14
1992	11	11	11	11	13
1993	11	11	11	11	12
1994	11	11	11	11	12
1995	11	11	13	16	18
1996	11	11	11	11	11
1997	11	11	13	13	14
1998	11	11	11	11	14
1999	11	11	11	13	13
2000	11	11	11	13	13
