Location id	1	2	3	4	5
Location latitude	53.1	53.1	53.1	53.1	53.1
Location longitude	1.0	2.0	3.0	4.0	5.0
1951	292	293	294	295	296
1952	287	286	285	284	283
1953	291	292	293	294	295
1954	291	292	292	293	294
1955	292	293	294	295	296
1956	291	291	291	291	292
1957	289	288	287	286	286
1958	293	295	296	298	300
1959	292	292	293	294	295
1960	291	292	292	292	293
1961	295	299	302	305	309
1962	290	290	291	291	291
1963	291	291	291	292	292
1964	291	291	292	292	292
1965	291	292	292	292	293
1966	293	294	295	297	298
1967	293	294	296	297	299
1968	292	293	294	294	295
1969	293	295	297	299	301
1970	290	291	291	291	291
1971	290	289	289	289	289
1972	288	286	285	284	283
1973	291	291	291	292	292
1974	289	288	288	288	287
1975	292	293	294	295	296
1976	291	292	292	292	293
1977	289	288	288	287	287
1978	290	289	289	289	289
1979	291	291	291	292	292
1980	291	291	291	291	292
1981	291	291	291	291	292
1982	294	296	299	301	303
1983	292	293	293	294	295
1984	290	289	289	289	288
1985	291	292	292	293	293
1986	288	286	285	284	283
1987	291	291	291	292	292
1988	291	291	291	292	292
1989	291	292	293	294	296
1990	290	290	290	290	290
1991	293	294	295	295	296
1992	290	289	289	289	289
1993	289	288	288	287	286
1994	288	287	286	285	285
1995	292	293	294	295	296
1996	287	286	285	283	282
1997	290	290	290	290	290
1998	289	288	288	287	287
1999	295	297	299	302	305
2000	291	291	291	291	292
