Location id	1	2	3	4	5	6
Location latitude	47.5	47.5	47.5	47.5	47.5	47.5
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0
1951	144	140	133	129	126	127
1952	143	138	136	132	130	129
1953	140	137	132	127	127	124
1954	148	143	139	136	136	135
1955	146	139	134	134	134	142
1956	152	149	144	142	142	141
1957	139	133	127	122	120	119
1958	140	134	132	130	129	129
1959	135	132	128	126	125	126
1960	137	134	132	130	127	131
1961	134	127	125	124	123	124
1962	152	145	141	136	138	143
1963	152	148	144	138	134	130
1964	143	139	136	135	134	134
1965	146	140	136	135	133	132
1966	137	133	128	125	123	135
1967	140	136	134	131	126	121
1968	148	141	132	126	127	125
1969	145	139	134	132	129	127
1970	149	144	139	138	136	137
1971	139	137	135	133	133	132
1972	146	141	134	129	127	126
1973	149	145	141	139	138	135
1974	143	138	135	134	134	132
1975	145	140	136	136	135	137
1976	144	139	136	133	130	129
1977	144	140	134	129	126	123
1978	151	148	147	141	139	136
1979	149	145	142	138	138	137
1980	148	142	138	135	133	133
1981	143	140	137	134	130	128
1982	145	142	139	137	136	135
1983	152	147	143	138	142	141
1984	156	151	148	144	142	138
1985	150	147	144	143	141	139
1986	153	146	144	141	138	136
1987	156	151	148	143	139	133
1988	139	136	134	131	130	131
1989	139	137	133	129	127	126
1990	135	132	130	128	128	129
1991	151	148	143	140	139	137
1992	141	138	135	132	129	126
1993	139	134	130	131	133	139
1994	141	136	133	128	125	123
1995	144	140	136	138	138	150
1996	151	147	142	138	136	134
1997	139	135	133	130	126	124
1998	140	136	133	131	130	131
1999	141	135	131	127	125	126
2000	137	134	131	128	125	122
