Location id	1	2	3	4	5	6
Location latitude	47.5	47.5	47.5	47.5	47.5	47.5
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0
1951	115.511	365	365	365	365	365
1952	112.078	366	366	366	366	366
1953	101.751	106.07	365	365	365	365
1954	146.038	365	365	365	365	365
1955	120.55	365	365	365	365	365
1956	124.406	366	366	366	366	366
1957	365	365	365	365	365	365
1958	125.029	130.98	365	365	365	365
1959	365	365	365	365	365	365
1960	366	366	366	366	366	366
1961	365	365	365	365	365	365
1962	125.765	134.972	365	365	365	365
1963	107.821	105.565	104.76	118.049	365	365
1964	119.124	131.213	366	366	366	366
1965	113.796	121.038	365	365	365	365
1966	365	365	365	365	365	365
1967	129.852	365	365	365	365	365
1968	112.413	114.194	366	366	366	366
1969	128.522	365	365	365	365	365
1970	125.882	124.435	131.106	365	365	365
1971	114.972	365	365	365	365	365
1972	120.202	366	366	366	366	366
1973	122.068	122.624	135.639	365	365	365
1974	151.741	365	365	365	365	365
1975	137.176	365	365	365	365	365
1976	118.401	126.039	366	366	366	366
1977	142.754	365	365	365	365	365
1978	127.976	143.432	365	365	365	365
1979	132.653	138.217	365	365	365	365
1980	128.763	359.339	366	366	366	366
1981	98.402	96.682	104.658	365	365	365
1982	129.01	365	365	365	365	365
1983	132.6	365	365	365	365	365
1984	118.831	118.241	132.29	366	366	366
1985	133.79	365	365	365	365	365
1986	122.407	120.87	121.057	365	365	365
1987	119.045	118.795	124.62	365	365	365
1988	135.399	366	366	366	366	366
1989	136.664	365	365	365	365	365
1990	365	365	365	365	365	365
1991	123.131	151.162	365	365	365	365
1992	113.083	132.315	366	366	366	366
1993	365	365	365	365	365	365
1994	135.823	365	365	365	365	365
1995	365	365	365	365	365	365
1996	117.853	118.441	366	366	366	366
1997	133.593	365	365	365	365	365
1998	138.392	365	365	365	365	365
1999	114.86	137.458	365	365	365	365
2000	113.526	129.843	366	366	366	366
