Location id	1	2	3	4	5
Location latitude	41.9	41.9	41.9	41.9	41.9
Location longitude	1.0	2.0	3.0	4.0	5.0
1951	108.354	115.889	119.886	121.196	121.392
1952	108.271	110.02	110.8	112.663	113.269
1953	110.351	112.997	114.693	116.252	117.962
1954	108.107	113.204	120.444	124.02	126.295
1955	111.438	113.583	120.468	124.8	128.99
1956	114.218	116.536	121.523	124.816	130.974
1957	103.427	101.614	100.52	100.882	99.669
1958	107.433	109.184	110.811	112.464	113.725
1959	103.703	105.389	108.234	109.813	112.862
1960	105.053	104.398	104.205	103.751	104.197
1961	104.323	104.819	103.914	102.395	101.667
1962	109.481	112.411	119.001	122.719	127.633
1963	110.306	111.755	113.089	114.33	115.432
1964	112.918	117.161	121.065	122.377	123.474
1965	108.039	110.992	114.935	116.263	119.213
1966	106.855	106.281	106.309	108.329	111.454
1967	105.46	105.421	105.32	105.179	104.425
1968	110.989	114.568	117.238	117.738	118.128
1969	108.476	113.749	115.731	121.921	128.501
1970	108.857	114.045	119.184	121.723	123.267
1971	111.636	119.543	123.189	123.793	126.553
1972	106.256	111.391	113.238	113.409	114.356
1973	113.236	118.379	121.649	124.805	127.152
1974	109.969	109.922	109.861	110.771	114.301
1975	106.655	107.99	110.278	112.219	114.092
1976	107.328	109.476	113.164	113.663	114.195
1977	104.127	101.689	101.312	103.525	108.682
1978	111.886	114.572	120.406	121.61	125.154
1979	105.819	108.554	115.637	121.427	124.82
1980	106.307	107.053	109.167	110.293	111.531
1981	106.867	107.189	106.766	107.116	107.363
1982	111.139	111.286	113.057	116.834	123.406
1983	109.264	112.416	115.727	119.083	123.769
1984	112.619	115.38	120.227	124.239	127.481
1985	111.981	115.064	116.442	119.594	119.45
1986	112.722	116.058	118.652	120.122	124.849
1987	108.989	111.734	113.883	114.008	114.773
1988	108.644	111.466	117.382	121.58	128.571
1989	111.965	112.13	113.11	114.024	114.219
1990	106.275	110.587	116.049	119.315	122.705
1991	106.413	107.284	112.287	116.897	119.648
1992	109.061	111.035	110.84	111.914	113.429
1993	106.852	111.994	116.468	120.158	123.151
1994	107.961	108.393	108.798	109.142	108.762
1995	108.883	115.087	120.449	127.311	136.657
1996	111.349	113.345	117.167	122.68	128.933
1997	103.28	105.482	102.999	109.718	112.648
1998	106.537	108.546	110.491	111.272	113.057
1999	107.303	109.051	109.971	109.308	110.167
2000	107.25	107.742	107.411	107.064	107.483
