Location id	1	2	3	4	5	6
Location latitude	53.1	53.1	53.1	53.1	53.1	53.1
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0
1951	0	0	0	0	0	0.998
1952	0	0	0	0	0	0.998
1953	0	0	0	0.995	0.996	0.996
1954	0	0	0	0.995	0.897	0.997
1955	0	0	0	0	0	0.996
1956	0	0	0	0	0.982	0.985
1957	0	0	0.997	0.998	0.998	0.998
1958	0	0	0	0.996	0.996	0.997
1959	0	0	0	0	0	0
1960	0	0	0.997	0.997	0.998	0.998
1961	0.895	0.995	0.996	0.997	0.997	0.997
1962	0	0	0	0.997	0.997	0.998
1963	0	0	0.987	0.99	0.992	0.993
1964	0	0	0	0.997	0.997	0.998
1965	0	0	0.997	0.997	0.998	0.998
1966	0	0.991	0.993	0.995	0.996	0.996
1967	0	0.997	0.998	0.997	0.998	0.998
1968	0	0	0.992	0.894	0.995	0.996
1969	0	0	0	0	0	0.997
1970	0	0	0	0.891	0.993	0.994
1971	0	0	0	0	0.996	0.996
1972	0	0	0	0.996	0.997	0.898
1973	0	0	0	0	0	0.998
1974	0	0	0	0.998	0.997	0.998
1975	0	0	0	0	0	0
1976	0	0	0	0	0	0.998
1977	0	0	0.997	0.997	0.997	0.898
1978	0	0	0	0.994	0.995	0.996
1979	0	0	0	0	0	0
1980	0	0	0	0.93	0.997	0.998
1981	0	0	0.996	0.996	0.997	0.997
1982	0	0	0	0	0.895	0.996
1983	0	0	0	0	0.998	0.931
1984	0	0	0	0.998	0.997	0.998
1985	0	0	0	0.99	0.992	0.994
1986	0	0	0	0.976	0.981	0.985
1987	0	0	0	0.884	0.986	0.989
1988	0	0	0	0.998	0.998	0.998
1989	0	0.997	0.998	0.998	0.998	0.998
1990	0	0.997	0.998	0.898	0.998	0.998
1991	0	0	0	0.997	0.997	0.998
1992	0	0	0	0	0.998	0.998
1993	0	0	0.997	0.997	0.998	0.998
1994	0	0	0	0	0.997	0.997
1995	0	0	0	0	0	0.998
1996	0	0	0	0	0.896	0.996
1997	0	0	0	0	0	0
1998	0	0	0.997	0.997	0.998	0.998
1999	0	0	0	0.997	0.898	0.998
2000	0	0.997	0.998	0.997	0.998	0.998
