Location id	1	2	3	4	5	6
Location latitude	53.1	53.1	53.1	53.1	53.1	53.1
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0
1951	243	236	228	219	211	205
1952	225	221	217	214	214	212
1953	236	228	219	208	197	194
1954	244	238	232	226	217	215
1955	253	244	234	227	220	214
1956	247	242	235	228	219	214
1957	245	235	223	214	210	219
1958	241	238	235	230	224	220
1959	224	213	201	195	199	197
1960	237	232	226	219	211	205
1961	220	209	203	199	209	211
1962	249	240	232	225	219	213
1963	239	231	225	217	209	200
1964	233	226	222	218	217	215
1965	246	237	228	217	207	201
1966	233	226	220	218	213	212
1967	242	234	225	217	213	209
1968	234	227	220	214	210	206
1969	245	238	231	226	223	219
1970	244	238	234	230	227	221
1971	239	232	226	220	213	208
1972	243	235	225	213	204	199
1973	249	243	236	226	217	210
1974	242	229	219	211	204	197
1975	252	244	233	222	222	221
1976	245	237	231	223	219	216
1977	244	233	224	217	211	212
1978	246	239	232	227	222	216
1979	247	242	238	232	225	218
1980	252	246	241	234	226	218
1981	235	228	221	213	206	200
1982	250	246	238	227	217	210
1983	239	230	223	217	215	216
1984	245	239	235	230	224	219
1985	245	238	233	227	220	213
1986	245	237	231	226	220	213
1987	255	243	232	221	213	209
1988	238	234	230	225	217	212
1989	237	229	222	216	213	211
1990	229	221	216	213	218	221
1991	255	242	230	219	211	216
1992	246	240	231	219	209	209
1993	234	230	224	216	209	203
1994	238	231	225	219	212	203
1995	249	244	238	230	222	216
1996	251	243	238	232	226	221
1997	250	243	235	226	219	220
1998	234	225	216	212	210	204
1999	236	228	221	216	210	207
2000	233	226	222	218	214	209
