Location id	1	2	3	4	5
Location latitude	41.9	41.9	41.9	41.9	41.9
Location longitude	1.0	2.0	3.0	4.0	5.0
1951	0.998	0.998	0.998	0.057	0.027
1952	0.419	0.419	0.375	0.375	0.419
1953	0.035	0.027	0.035	0.072	0.132
1954	0.998	0.998	0.998	0.98	0.878
1955	0.51	0.333	0.109	0.011	0.002
1956	0.333	0.333	0.825	0.996	0.998
1957	0.998	0.998	0.998	0.998	0.998
1958	0.005	0	0	0	0
1959	0.998	0.998	0.998	0.795	0.6
1960	0.057	0.027	0.035	0.035	0
1961	0.998	0.998	0.998	0.998	0.998
1962	0.254	0.333	0.419	0.998	0.998
1963	0.998	0.998	0.998	0.998	0.998
1964	0.011	0.002	0.001	0	0
1965	0.934	0.994	0.998	0.998	0.998
1966	0.035	0.02	0.005	0.005	0.011
1967	0.998	0.998	0.998	0.998	0.998
1968	0.825	0.998	0.998	0.998	0.998
1969	0.853	0.825	0.985	0.998	0.998
1970	0.004	0	0	0	0
1971	0.998	0.998	0.998	0.998	0.998
1972	0.998	0.998	0.998	0.998	0.998
1973	0.027	0.045	0.072	0.089	0.132
1974	0.464	0.375	0.51	0.761	0.643
1975	0.132	0.6	0.899	0.761	0.947
1976	0.132	0.158	0.375	0.6	0.685
1977	0.998	0.998	0.998	0.998	0.998
1978	0.878	0.998	0.999	0.998	0.998
1979	0.089	0.045	0.045	0.219	0.333
1980	0.998	0.998	0.998	0.998	0.998
1981	0.998	0.998	0.999	0.998	0.999
1982	0.045	0.027	0.027	0.02	0.027
1983	0.998	0.999	0.998	0.998	0.998
1984	0.998	0.998	0.998	0.998	0.98
1985	0.027	0.002	0	0	0
1986	0.004	0.004	0.02	0.158	0.685
1987	0.98	0.998	0.994	0.999	0.985
1988	0.998	0.998	0.998	0.967	0.975
1989	0.761	0.219	0.187	0.6	0.6
1990	0.045	0.02	0.02	0.008	0
1991	0.132	0.045	0.045	0.045	0.035
1992	0.853	0.998	0.998	0.998	0.998
1993	0.685	0.555	0.761	0.958	0.967
1994	0.795	0.6	0.555	0.6	0.464
1995	0.998	0.998	0.998	0.998	0.998
1996	0.643	0.899	0.98	0.994	0.967
1997	0.998	0.998	0.998	0.998	0.998
1998	0.292	0.51	0.643	0.685	0.643
1999	0.089	0.072	0.089	0.132	0
2000	0.187	0.158	0.158	0.333	0.292
