Location id	1	2	3	4	5
Location latitude	41.9	41.9	41.9	41.9	41.9
Location longitude	1.0	2.0	3.0	4.0	5.0
1951	150	148	176	278	282
1952	265	265	265	264	263
1953	280	281	280	275	271
1954	212	187	186	228	235
1955	261	266	274	284	288
1956	268	268	248	224	219
1957	143	139	138	139	145
1958	285	290	291	291	291
1959	188	167	182	252	258
1960	280	283	282	281	278
1961	160	155	154	156	157
1962	269	265	262	187	165
1963	193	171	165	158	158
1964	286	290	291	293	293
1965	245	234	161	159	158
1966	281	283	288	287	284
1967	168	164	168	169	175
1968	244	217	198	198	198
1969	251	251	238	189	176
1970	288	293	294	294	293
1971	182	167	163	162	163
1972	163	164	175	193	191
1973	282	280	277	275	273
1974	265	268	265	259	262
1975	275	259	249	254	244
1976	276	275	267	261	258
1977	161	155	157	172	174
1978	249	220	188	187	187
1979	277	280	279	270	266
1980	198	193	191	191	191
1981	147	142	140	137	137
1982	280	282	282	282	281
1983	178	170	169	170	170
1984	159	159	163	225	240
1985	279	288	292	293	292
1986	288	288	282	270	250
1987	229	175	218	209	218
1988	163	160	161	235	233
1989	253	269	270	256	255
1990	279	283	282	285	282
1991	274	281	280	280	281
1992	251	186	173	171	168
1993	256	261	254	242	240
1994	251	258	260	258	261
1995	168	167	167	171	185
1996	260	251	242	237	244
1997	174	174	178	187	203
1998	268	262	258	257	258
1999	276	277	276	273	264
2000	273	274	274	267	267
