Location id	1	2	3	4	5
Location latitude	47.5	47.5	47.5	47.5	47.5
Location longitude	1.0	2.0	3.0	4.0	5.0
1951	272	273	275	280	365
1952	291	292	366	366	366
1953	277	279	280	283	365
1954	276	277	281	365	365
1955	285	286	289	292	298
1956	276	366	366	366	366
1957	271	270	270	272	365
1958	269	269	270	273	280
1959	287	288	289	291	296
1960	267	265	265	266	267
1961	274	273	271	270	263
1962	285	287	294	365	365
1963	277	279	286	365	365
1964	284	285	290	293	298
1965	271	271	292	365	365
1966	267	265	267	365	365
1967	271	270	270	277	365
1968	272	274	366	366	366
1969	272	274	289	365	365
1970	275	278	365	365	365
1971	268	268	274	365	365
1972	269	268	268	268	268
1973	277	279	282	287	365
1974	270	269	271	272	282
1975	272	273	275	279	291
1976	289	291	293	297	366
1977	269	268	268	285	365
1978	274	275	276	282	365
1979	274	275	278	365	365
1980	271	272	272	273	274
1981	270	270	269	271	281
1982	274	276	277	280	285
1983	278	282	286	290	294
1984	276	279	281	288	-999
1985	277	285	365	365	365
1986	275	281	365	365	365
1987	279	282	301	365	365
1988	267	266	267	288	366
1989	274	274	274	276	287
1990	266	264	264	266	268
1991	286	287	291	365	365
1992	272	272	272	273	275
1993	268	267	266	266	273
1994	271	271	273	275	283
1995	271	271	272	274	365
1996	276	276	278	279	283
1997	270	269	270	272	302
1998	274	273	274	274	279
1999	273	271	274	288	365
2000	268	265	264	264	266
