Location id	1	2	3	4	5
Location latitude	47.5	47.5	47.5	47.5	47.5
Location longitude	1.0	2.0	3.0	4.0	5.0
1951	0.992	0.983	0.953	0.863	0.585
1952	0.988	0.971	0.921	0.755	0.271
1953	0.991	0.982	0.958	0.898	0.735
1954	0.988	0.962	0.87	0.609	0
1955	0.993	0.989	0.981	0.963	0.937
1956	0.929	0.612	0	0	0
1957	0.993	0.985	0.959	0.859	0.38
1958	0.993	0.986	0.97	0.925	0.828
1959	0.995	0.993	0.989	0.98	0.959
1960	0.995	0.992	0.986	0.97	0.929
1961	0.996	0.995	0.994	0.99	0.982
1962	0.993	0.986	0.972	0.937	0.859
1963	0.981	0.949	0.848	0.559	0
1964	0.993	0.988	0.977	0.953	0.901
1965	0.988	0.954	0.749	0.07	0
1966	0.991	0.973	0.906	0.655	0.001
1967	0.993	0.983	0.951	0.847	0.494
1968	0.987	0.941	0.662	0.077	0
1969	0.985	0.946	0.777	0.182	0
1970	0.984	0.936	0.687	0	0
1971	0.987	0.958	0.848	0.413	0
1972	0.995	0.992	0.986	0.97	0.928
1973	0.991	0.983	0.959	0.892	0.722
1974	0.995	0.99	0.974	0.926	0.782
1975	0.994	0.99	0.972	0.917	0.796
1976	0.991	0.981	0.954	0.881	0.682
1977	0.994	0.987	0.952	0.753	0
1978	0.992	0.98	0.943	0.856	0.642
1979	0.988	0.969	0.895	0.551	0
1980	0.995	0.992	0.988	0.977	0.953
1981	0.991	0.984	0.966	0.921	0.794
1982	0.994	0.99	0.979	0.955	0.886
1983	0.993	0.989	0.98	0.962	0.936
1984	0.992	0.987	0.973	0.947	0.89
1985	0.969	0.86	0.358	0	0
1986	0.97	0.864	0.412	0	0
1987	0.98	0.934	0.763	0.125	0
1988	0.993	0.98	0.921	0.74	0.214
1989	0.995	0.993	0.984	0.952	0.806
1990	0.995	0.993	0.987	0.967	0.894
1991	0.987	0.966	0.89	0.631	0
1992	0.993	0.99	0.983	0.971	0.947
1993	0.992	0.986	0.97	0.927	0.849
1994	0.995	0.991	0.98	0.945	0.834
1995	0.995	0.992	0.985	0.956	0.781
1996	0.992	0.986	0.974	0.944	0.868
1997	0.992	0.984	0.962	0.899	0.715
1998	0.994	0.989	0.979	0.947	0.846
1999	0.991	0.978	0.933	0.776	0.303
2000	0.994	0.99	0.98	0.959	0.906
