Location id	1	2	3	4	5
Location latitude	47.5	47.5	47.5	47.5	47.5
Location longitude	1.0	2.0	3.0	4.0	5.0
1951	118.626	119.429	120.024	131.557	133.53
1952	113.121	110.915	115.874	120.289	119.892
1953	110.066	108.711	107.054	103.485	101.126
1954	122.41	133.293	147.721	157.525	158.171
1955	121.922	123.592	123.595	129.935	143.181
1956	119.782	122.767	127.015	147.156	345.426
1957	115.06	365	365	365	365
1958	124.593	126.545	127.196	127.328	127.2
1959	124.349	365	365	365	365
1960	129.968	366	366	366	366
1961	365	365	365	365	365
1962	123.408	127.292	127.763	127.294	126.723
1963	112.06	111.647	111.466	111.873	113.246
1964	122.918	123.332	122.774	124.69	123.677
1965	118.22	118.926	119.009	117.381	115.135
1966	126.959	365	365	365	365
1967	113.132	121.837	131.714	134.607	135.289
1968	116.414	116.175	115.221	113.316	112.177
1969	116.167	119.305	131.104	132.194	139.872
1970	123.092	126.476	128.966	130.605	131.845
1971	120.024	120.399	119.756	124.117	140.999
1972	116.592	120.9	123.187	153.307	155.348
1973	121.904	123.395	124.227	124.953	125.482
1974	117.557	119.042	153.896	158.978	337.094
1975	131.729	136.979	139.098	139.416	160.844
1976	113.534	112.612	123.439	126.173	126.262
1977	120.136	140.722	144.711	145.319	145.372
1978	117.661	125.546	131.834	135.803	137.155
1979	122.071	129.558	134.886	137.378	141.402
1980	122.907	128.864	132.322	134.533	135.687
1981	105.937	103.136	100.768	98.712	96.036
1982	121.373	127.799	132.567	135.122	138.405
1983	121.403	124.079	135.791	137.144	137.933
1984	121.052	122.149	123.144	123.925	123.913
1985	125.44	130.894	136.803	153.159	153.788
1986	120.84	123.581	125.556	127.762	130.976
1987	118.562	119.098	121.325	121.173	120.491
1988	121.261	123.197	137.495	366	366
1989	116.724	125.361	138.666	144.951	144.417
1990	133.673	365	365	365	365
1991	111.313	109.346	128.549	145.131	156.774
1992	116.004	116.194	115.929	115.967	118.897
1993	120.753	131.31	365	365	365
1994	114.402	119.975	138.696	140.134	140.279
1995	133.966	365	365	365	365
1996	118.267	118.708	120.919	120.295	119.23
1997	113.973	127.424	135.503	142.603	144.174
1998	127.18	131.986	140.665	360.344	350.933
1999	112.615	115.987	118.235	119.628	126.072
2000	114.805	115.704	116.944	120.221	123.204
