Location id	1	2	3	4	5
Location latitude	47.5	47.5	47.5	47.5	47.5
Location longitude	1.0	2.0	3.0	4.0	5.0
1951	0.998	0.998	0.997	0.994	0.988
1952	0.998	0.997	0.996	0.993	0.986
1953	0.998	0.998	0.996	0.993	0.968
1954	0.998	0.997	0.995	0.989	0.969
1955	0.998	0.997	0.995	0.976	0.67
1956	0.997	0.994	0.98	0.924	0.694
1957	0.998	0.998	0.996	0.989	0.947
1958	0.998	0.998	0.997	0.996	0.991
1959	0.998	0.998	0.998	0.998	0.997
1960	0.998	0.998	0.998	0.997	0.996
1961	0.998	0.998	0.998	0.997	0.989
1962	0.997	0.996	0.992	0.984	0.961
1963	0.997	0.996	0.992	0.985	0.97
1964	0.998	0.997	0.996	0.994	0.986
1965	0.998	0.997	0.996	0.993	0.985
1966	0.998	0.998	0.996	0.99	0.97
1967	0.998	0.996	0.993	0.985	0.962
1968	0.998	0.996	0.99	0.959	0.818
1969	0.998	0.997	0.996	0.991	0.979
1970	0.998	0.997	0.995	0.99	0.977
1971	0.998	0.998	0.996	0.992	0.981
1972	0.998	0.998	0.998	0.997	0.995
1973	0.998	0.997	0.995	0.987	0.946
1974	0.998	0.998	0.997	0.996	0.99
1975	0.998	0.997	0.996	0.99	0.953
1976	0.998	0.997	0.995	0.991	0.977
1977	0.998	0.998	0.997	0.996	0.994
1978	0.998	0.998	0.997	0.993	0.975
1979	0.998	0.997	0.994	0.988	0.97
1980	0.998	0.998	0.998	0.997	0.979
1981	0.998	0.997	0.996	0.991	0.96
1982	0.998	0.998	0.997	0.996	0.994
1983	0.998	0.997	0.996	0.994	0.989
1984	0.998	0.998	0.997	0.997	0.996
1985	0.997	0.994	0.983	0.941	0.777
1986	0.997	0.996	0.992	0.982	0.95
1987	0.997	0.996	0.99	0.975	0.923
1988	0.998	0.998	0.998	0.996	0.993
1989	0.998	0.998	0.997	0.996	0.993
1990	0.998	0.998	0.998	0.998	0.997
1991	0.998	0.997	0.995	0.991	0.799
1992	0.998	0.998	0.998	0.997	0.996
1993	0.998	0.998	0.997	0.997	0.995
1994	0.998	0.998	0.997	0.997	0.995
1995	0.998	0.997	0.992	0.944	0.553
1996	0.998	0.998	0.997	0.99	0.862
1997	0.998	0.998	0.997	0.994	0.988
1998	0.998	0.998	0.997	0.995	0.989
1999	0.998	0.998	0.997	0.994	0.988
2000	0.998	0.998	0.996	0.982	0.879
