Location id	1	2	3	4	5
Location latitude	47.5	47.5	47.5	47.5	47.5
Location longitude	1.0	2.0	3.0	4.0	5.0
1951	316	314	308	309	308
1952	332	331	326	312	312
1953	326	318	312	289	290
1954	320	313	309	306	305
1955	360	360	362	365	365
1956	308	296	295	292	291
1957	333	331	311	303	281
1958	314	310	301	298	297
1959	-999	359	357	311	314
1960	314	305	300	297	299
1961	330	326	294	272	274
1962	349	346	340	338	353
1963	333	333	331	325	305
1964	335	332	321	322	323
1965	321	320	316	312	311
1966	312	309	303	302	303
1967	337	336	335	336	338
1968	316	312	308	306	304
1969	305	304	304	304	304
1970	315	311	311	311	312
1971	294	291	291	288	289
1972	318	317	316	316	316
1973	327	325	321	322	322
1974	315	308	295	289	288
1975	328	338	339	338	336
1976	350	350	351	352	352
1977	316	313	307	304	302
1978	317	316	316	317	336
1979	327	320	313	312	312
1980	303	300	300	301	310
1981	294	289	288	285	284
1982	338	338	337	337	333
1983	349	351	352	365	365
1984	322	320	323	328	330
1985	333	321	323	339	351
1986	338	336	335	327	324
1987	323	320	319	320	322
1988	307	304	303	302	303
1989	339	338	334	332	332
1990	308	299	289	282	283
1991	354	356	356	355	365
1992	323	317	313	308	309
1993	301	298	296	292	288
1994	342	341	339	329	297
1995	345	345	346	351	-999
1996	309	304	301	300	298
1997	306	298	296	296	297
1998	321	312	309	304	303
1999	309	296	290	286	287
2000	307	305	305	305	303
