Location id	1	2	3	4	5
Location latitude	53.1	53.1	53.1	53.1	53.1
Location longitude	1.0	2.0	3.0	4.0	5.0
1951	146	145	145	145	145
1952	144	143	141	139	141
1953	143	141	140	139	138
1954	148	148	149	150	153
1955	153	156	158	160	165
1956	152	153	154	156	158
1957	146	144	144	141	143
1958	147	148	150	151	152
1959	141	139	137	134	132
1960	143	142	141	140	139
1961	142	140	136	135	129
1962	148	149	149	152	158
1963	150	151	152	153	154
1964	147	147	147	147	148
1965	148	148	149	149	152
1966	145	144	143	142	142
1967	142	141	138	137	136
1968	148	147	148	146	146
1969	149	152	158	160	160
1970	153	155	158	160	161
1971	142	140	140	139	138
1972	147	147	146	149	147
1973	148	148	147	149	150
1974	144	141	141	140	139
1975	145	145	145	145	154
1976	148	149	151	151	155
1977	147	147	146	146	145
1978	148	149	150	150	151
1979	150	150	151	153	154
1980	151	153	154	156	157
1981	142	141	141	141	140
1982	147	147	147	147	147
1983	146	146	146	149	150
1984	150	150	151	151	154
1985	148	149	149	150	151
1986	149	151	153	157	160
1987	155	158	161	163	167
1988	145	144	143	143	145
1989	143	142	141	140	140
1990	139	135	132	130	129
1991	151	153	155	158	160
1992	145	144	144	144	144
1993	142	140	138	137	136
1994	145	145	143	142	143
1995	148	148	148	149	150
1996	154	157	158	160	161
1997	147	147	147	147	147
1998	142	140	138	135	135
1999	146	146	145	145	145
2000	141	138	136	135	132
