Location id	1	2	3	4	5
Location latitude	53.1	53.1	53.1	53.1	53.1
Location longitude	1.0	2.0	3.0	4.0	5.0
1951	146.286	145.915	144.883	144.14	142.937
1952	140.236	134.863	129.699	125.653	120.511
1953	140.014	137.693	135.285	127.449	122.277
1954	146.601	146.357	146.039	145.716	145.428
1955	151.857	153.166	153.908	153.861	152.905
1956	149.487	149.504	149.233	148.727	148.035
1957	146.49	145.015	142.316	138.464	136.231
1958	148.228	148.341	147.821	146.914	145.953
1959	137.305	131.83	128.041	119.403	114.136
1960	142.642	139.986	137.693	135.912	134.435
1961	138.761	131.886	124.466	116.714	112.362
1962	150.562	151.535	152.057	150.737	148.28
1963	146.354	145.615	144.727	143.402	142.26
1964	145.538	144.178	142.134	138.701	134.12
1965	148.154	148.47	148.225	147.642	146.879
1966	141.442	137.961	136.333	134.305	132.477
1967	142.94	140.511	136.67	134.633	133.191
1968	145.4	141.465	133.02	125.417	118.683
1969	148.685	148.483	147.914	147.11	145.777
1970	150.209	151.314	151.702	151.465	150.584
1971	142.221	139.624	137.645	136.424	134.98
1972	145.14	144.067	142.713	141.095	137.991
1973	148.389	148.56	148.438	148.136	147.531
1974	145.085	143.833	141.267	139.491	138.102
1975	147.596	147.312	146.689	145.271	142.338
1976	148.067	147.316	146.094	144.194	142.139
1977	147.311	147.092	146.014	144.534	142.637
1978	146.947	146.207	145.022	143.757	142.593
1979	148.681	148.599	148.267	147.624	146.584
1980	151.998	153.648	154.542	155.131	155.329
1981	140.821	138.306	134.467	132.348	130.727
1982	147.561	147.15	146.705	146.249	145.734
1983	145.321	143.795	141.5	139.966	137.713
1984	149.668	149.925	149.836	149.215	148.574
1985	145.608	144.817	143.693	141.88	140.817
1986	146.432	145.634	144.598	142.778	141.5
1987	152.468	154.474	155.89	156.871	157.296
1988	145.377	144.123	140.605	137.364	135.866
1989	143.241	141.467	139.375	137.189	134.173
1990	139.492	134.773	129.668	126.732	125.187
1991	150.121	150.686	150.242	149.321	147.421
1992	144.831	143.639	142.548	141.66	140.738
1993	138.525	134.203	130.66	127.808	120.871
1994	143.745	141.647	138.23	135.599	133.069
1995	148.392	148.298	148.074	147.297	146.425
1996	152.145	152.818	152.66	151.853	151.368
1997	146.962	145.763	143.278	139.746	138.327
1998	141.543	138.12	133.934	130.983	129.41
1999	145.127	143.815	142.479	140.387	139.062
2000	138.37	134.984	130.865	128.041	124.665
