Location id	1	2	3	4	5
Location latitude	53.1	53.1	53.1	53.1	53.1
Location longitude	1.0	2.0	3.0	4.0	5.0
1951	365	365	365	365	365
1952	346	336	332	323	322
1953	365	365	365	365	365
1954	365	365	365	364	328
1955	365	365	353	346	329
1956	366	362	358	328	325
1957	352	351	350	348	344
1958	365	365	365	365	365
1959	365	356	345	343	342
1960	366	360	354	349	348
1961	357	352	351	349	348
1962	356	353	339	335	327
1963	353	349	348	346	345
1964	364	361	359	358	355
1965	348	325	322	320	319
1966	365	365	344	323	306
1967	364	354	346	345	345
1968	350	346	343	337	321
1969	347	342	339	338	335
1970	365	363	361	359	357
1971	365	365	364	327	324
1972	366	365	360	357	332
1973	347	336	335	333	332
1974	365	365	365	365	365
1975	365	365	351	346	327
1976	363	359	354	351	349
1977	365	365	365	343	339
1978	355	351	341	340	338
1979	365	365	365	354	321
1980	342	338	315	311	309
1981	349	347	345	342	334
1982	365	365	365	357	352
1983	350	345	337	328	320
1984	366	362	352	350	348
1985	365	334	326	323	322
1986	365	365	359	358	357
1987	358	347	343	342	341
1988	366	350	336	327	325
1989	362	341	334	329	326
1990	365	353	349	343	342
1991	365	355	345	339	325
1992	366	365	363	360	334
1993	356	330	325	323	305
1994	365	365	365	359	357
1995	346	340	336	332	325
1996	356	349	345	334	332
1997	353	350	331	308	301
1998	341	333	326	325	323
1999	365	355	348	324	321
2000	366	362	360	359	358
