Location id	1	2	3	4	5	6
Location latitude	41.9	41.9	41.9	41.9	41.9	41.9
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0
1951	0.999	0.999	0.999	0.999	0	0
1952	0.993	0.997	0.999	0	0	0
1953	0.998	0.999	0.999	1	0	0
1954	0.999	0.999	0.999	0	0	0
1955	0.998	0.999	0	0	0	0
1956	0.994	0.997	0.999	0.999	0	0
1957	0.999	0.999	0.999	1	0	0
1958	0.999	0.999	0.999	1	0	0
1959	0.999	0.999	1	0	0	0
1960	0.954	0.982	0.993	0	0	0
1961	0.999	0.996	0.999	0	0	0
1962	0	0	0.477	0	0	0
1963	0.998	0	0	0	0	0
1964	0.983	0.993	0.996	0	0	0
1965	0.999	0.997	0.999	0.999	0	0
1966	0.994	0.998	0	0	0	0
1967	0.999	0	0	0.877	0	0
1968	0.998	0.958	0.984	0	0	0
1969	0.969	0.988	0.996	0	0	0
1970	0.404	0.727	0.891	0.959	0	0
1971	0.998	0.997	0.998	0.999	0	0
1972	0.999	0.999	1	1	0	0
1973	0.99	0.996	0.998	0.999	0	0
1974	0.998	0.999	0.999	1	1	0
1975	0.993	0.997	0.999	0.999	1	0
1976	0.995	0.998	0.999	0.999	1	0
1977	0.999	0.998	0.999	1	0	0
1978	0.994	0.996	0.998	0.999	0	0
1979	0.989	0.996	0.998	0.999	0	0
1980	0.99	0.997	0.997	0.999	0	0
1981	0.999	0.999	0.999	0.999	0	0
1982	0.997	0.999	0.999	0	0	0
1983	0.998	0.998	0.999	0.999	0	0
1984	0.999	0.999	0.999	1	0	0
1985	0.982	0.993	0.997	0	0	0
1986	0.99	0.996	0.998	0.999	0.999	0
1987	0.997	0.998	0.999	0.999	0	0
1988	0.999	0.995	0.998	0	0	0
1989	0.999	0.999	1	1	0	0
1990	0.97	0.989	0	0	0	0
1991	0.994	0.998	0.999	0.999	1	0
1992	0.999	0.998	0.999	0.999	1	0
1993	0.992	0.997	0.999	0.999	0	0
1994	0.994	0.998	0.999	0.999	0	0
1995	0.999	0.999	1	0	0	0
1996	0.995	0.998	0.999	0	0	0
1997	0.999	0.998	0.999	0	0	0
1998	0.99	0.996	0.998	0	0	0
1999	0.98	0.993	0.997	0.999	0	0
2000	0.998	0.999	0.999	1	0	0
