Location id	1	2	3	4	5	6
Location latitude	41.9	41.9	41.9	41.9	41.9	41.9
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0
1951	316	322	330	336	343	352
1952	318	321	325	330	341	346
1953	318	324	330	343	357	364
1954	323	329	339	345	353	361
1955	317	322	326	330	339	348
1956	310	315	320	325	331	336
1957	314	320	327	333	340	349
1958	318	323	332	339	348	359
1959	314	319	327	334	340	348
1960	311	316	324	333	341	346
1961	317	322	331	339	349	354
1962	316	320	324	328	333	339
1963	324	331	338	346	350	351
1964	315	322	330	335	340	348
1965	319	326	330	335	343	352
1966	316	320	324	328	332	338
1967	327	332	339	343	345	347
1968	325	331	340	347	354	363
1969	320	325	330	333	337	341
1970	319	326	335	341	350	355
1971	317	322	326	329	334	342
1972	309	319	329	334	344	354
1973	313	319	326	333	337	343
1974	297	302	305	311	321	334
1975	310	314	321	327	334	342
1976	309	313	320	325	329	338
1977	322	326	329	333	337	348
1978	316	323	330	333	338	349
1979	314	318	321	326	331	341
1980	311	317	322	330	335	338
1981	317	322	330	337	342	353
1982	318	323	330	335	344	352
1983	322	328	336	341	346	351
1984	315	323	333	339	348	357
1985	320	323	325	328	331	336
1986	322	328	334	340	347	355
1987	324	328	331	335	341	350
1988	324	328	330	335	340	347
1989	320	329	336	343	358	365
1990	317	325	330	334	337	342
1991	310	314	320	326	332	341
1992	309	318	326	337	345	352
1993	306	314	320	324	330	338
1994	315	325	336	348	355	360
1995	318	325	332	339	347	353
1996	310	319	324	330	338	351
1997	320	327	333	338	343	350
1998	312	318	324	327	331	337
1999	318	321	325	327	332	340
2000	313	317	323	330	342	353
