Location id	1	2	3	4	5	6
Location latitude	47.5	47.5	47.5	47.5	47.5	47.5
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0
1951	112.788	109.843	107.214	106.112	104.428	106.539
1952	118.562	115.551	115.02	112.203	110.395	110.373
1953	114.732	111.359	108.574	106.028	107.068	105.17
1954	118.193	114.265	113.798	113.239	115.17	115.227
1955	116.839	114.476	111.512	113.217	114.052	121.975
1956	127.625	124.925	122.056	120.394	121.97	122.687
1957	108.924	104.966	100.34	97.33	96.012	97.239
1958	117.466	113.098	110.142	109.505	109.103	110.924
1959	106.318	102.969	100.203	99.331	100.113	102.148
1960	109.374	105.024	102.61	101.287	99.129	108.619
1961	103.92	100.623	100.951	100.916	100.908	104.447
1962	118.873	115.684	113.825	111.628	115.471	122.061
1963	122.907	118.753	115.921	112.438	111.159	109.563
1964	118.766	115.617	113.719	113.819	113.86	114.892
1965	117.669	114.009	111.509	110.094	108.534	109.164
1966	110.901	107.095	103.942	102.754	101.837	116.918
1967	110.805	107.299	105.289	101.987	98.649	96.863
1968	113.713	110.637	107.873	104.904	106.388	105.545
1969	119.037	115.212	111.572	109.265	106.968	106.22
1970	121.36	118.281	113.893	114.256	113.12	117.75
1971	116.637	113.1	111.886	111.634	112.573	112.801
1972	111.203	106.369	102.048	98.286	99.409	100.247
1973	122.324	119.317	117.667	117.384	117.337	115.517
1974	107.834	103.478	101.132	102.365	104.728	105.172
1975	114.626	111.916	109.201	110.155	111.596	115.001
1976	118.072	113	110.315	107.861	106.798	105.068
1977	111.402	107.215	102.736	98.886	98.141	96.926
1978	119.727	118.424	119.214	116.36	115.283	114.331
1979	120.574	115.588	111.993	108.435	111.701	112.443
1980	115.347	110.834	107.414	105.712	105.708	109.157
1981	111.609	107.502	104.029	103.277	101.283	101.186
1982	115.719	114.095	110.84	111.46	110.98	111.685
1983	118.018	115.29	115.33	113.602	118.871	119.889
1984	120.172	118.206	117.972	117.206	116.71	114.671
1985	122.186	120.205	117.743	119.44	117.682	117.201
1986	127.757	123.844	122.301	120.15	117.254	116.3
1987	123.747	120.089	118.433	115.372	115.034	112.824
1988	113.81	111.728	109.8	108.312	108.836	112.33
1989	109.455	107.86	104.646	100.931	99.264	100.751
1990	111.036	107.374	106.355	105.261	106.624	110.699
1991	116.702	112.885	108.636	105.858	109.628	109.827
1992	116.202	113.212	110.228	107.037	105.434	104.21
1993	113.156	109.591	107.642	110.137	114.021	120.868
1994	113.681	110.776	108.433	105.145	101.792	100.376
1995	115.145	112.379	110.905	115.308	117.732	130.882
1996	121.087	118.125	114.426	112.418	111.988	112.398
1997	110.689	106.004	103.034	102.341	100.492	99.206
1998	115.468	111.731	108.925	106.416	106.069	109.968
1999	115.698	111.841	107.781	103.316	101.075	105.207
2000	115.82	112.515	109.532	106.372	103.539	100.801
