Location id	1	2	3	4	5	6
Location latitude	47.5	47.5	47.5	47.5	47.5	47.5
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0
1951	0	0	0.996	0.897	0.898	0.998
1952	0	0	0	0.897	0.997	0.998
1953	0	0	0.996	0.997	0.997	0.998
1954	0	0	0.995	0.897	0.897	0.997
1955	0	0	0	0	0	0.998
1956	0	0.978	0.983	0.888	0.99	0.992
1957	0	0.996	0.897	0.997	0.998	0.998
1958	0	0	0.997	0.998	0.998	0.998
1959	0	0	0	0.998	0.998	0
1960	0	0	0.997	0.998	0.997	0.898
1961	0	0.998	0.998	0.998	0.998	0
1962	0	0	0	0	0	0
1963	0	0.991	0.994	0.995	0.996	0.997
1964	0	0	0	0.997	0.998	0.898
1965	0	0.995	0.996	0.997	0.997	0.998
1966	0.993	0.994	0.995	0.996	0.997	0.997
1967	0	0.896	0.996	0.997	0.898	0.998
1968	0	0.987	0.891	0.992	0.993	0.995
1969	0	0	0.995	0.996	0.997	0.997
1970	0	0	0	0.996	0.997	0.997
1971	0	0	0.995	0.996	0.997	0.997
1972	0	0	0.997	0.898	0.998	0.998
1973	0	0	0	0	0.998	0.998
1974	0	0	0	0	0.998	0.998
1975	0	0	0	0.997	0.998	0.998
1976	0	0	0.997	0.997	0.998	0.998
1977	0	0	0.997	0.898	0.998	0.998
1978	0	0	0	0	0	0.998
1979	0	0	0	0.996	0.996	0.997
1980	0	0	0	0.998	0.898	0.998
1981	0	0.995	0.996	0.997	0.997	0.998
1982	0	0	0	0.998	0.998	0.998
1983	0	0	0.997	0.998	0.898	0.998
1984	0	0	0	0.898	0.898	0.998
1985	0	0	0	0	0	0.993
1986	0	0	0.992	0.993	0.895	0.996
1987	0	0	0.991	0.993	0.994	0.896
1988	0	0.997	0.997	0.998	0.998	0.998
1989	0	0	0.998	0.998	0.998	0.998
1990	0	0.897	0.998	0.898	0.898	0.998
1991	0	0	0	0	0.997	0.998
1992	0	0	0	0.998	0.898	0.998
1993	0	0.897	0.997	0.998	0.998	0.998
1994	0	0.997	0.997	0.998	0.898	0.998
1995	0	0.997	0.997	0.997	0.997	0.898
1996	0	0	0	0.998	0.998	0.898
1997	0	0	0.996	0.997	0.997	0.897
1998	0	0	0	0.898	0.998	0.998
1999	0	0	0.996	0.996	0.997	0.998
2000	0	0	0.997	0.998	0.898	0.998
