Location id	1	2	3	4	5	6
Location latitude	47.5	47.5	47.5	47.5	47.5	47.5
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0
1951	160.89	154.055	148.51	142.787	135.953	138.198
1952	146.22	139.745	132.999	127.117	129.006	133.961
1953	154.945	144.838	137.483	128.905	123.301	121.851
1954	174.407	166.648	157.439	146.92	141.119	145.873
1955	166.646	158.725	149.581	139.719	134.631	139.354
1956	165.439	155.839	147.42	140.419	135.191	132.676
1957	158.491	141.365	130.832	119.642	130.238	150.382
1958	162.702	156.7	151.703	147.799	144.668	140.827
1959	153.527	142.408	132.257	127.13	127.418	137.558
1960	156.103	149.026	145.982	137.78	135.659	152.464
1961	150.089	128.9	124.023	122.744	131.159	163.118
1962	177.437	169.532	160.982	152.306	146.647	140.424
1963	170.779	157.208	144.597	135.486	129.381	123.813
1964	158.004	151.111	142.75	135.484	134.645	140.059
1965	169.098	156.249	143.934	134.916	127.872	122.043
1966	156.972	150.031	142.762	138.328	136.304	141.434
1967	168.861	158.177	150.98	147.353	145.261	144.116
1968	164.683	157.878	150.522	143.676	136.533	132.81
1969	168.837	158.774	147.302	140.942	140.253	143.26
1970	165.714	161.895	158.77	155.581	150.781	144.889
1971	159.09	152.602	144.97	139.576	135.033	132.074
1972	175.412	162.242	151.317	141.814	132.645	137.258
1973	169.247	165.703	160.516	154.347	148.141	143.606
1974	159.753	149.915	142.12	135.68	128.372	126.602
1975	174.826	167.297	158.256	148.655	147.818	147.124
1976	166.258	158.42	150.815	143.441	139.748	136.557
1977	170.393	162.69	152.019	140.127	140.763	148.149
1978	179.413	169.723	160.301	151.061	144.224	141.428
1979	173.642	167.921	161.975	156.102	150.851	148.258
1980	174.228	166.229	159.329	152.92	146.867	143.551
1981	156.095	146.54	139.45	134.747	129.567	124.586
1982	173.996	169.934	161.928	150.236	142.621	138.354
1983	178.772	166.998	155.166	142.097	138.642	142.818
1984	180.761	172.113	165.032	158.554	151.103	141.48
1985	171.532	161.598	154.405	149.509	144.758	141.955
1986	177.341	171.074	163.169	153.87	146.097	139.712
1987	172.687	165.192	160.24	154.549	148.008	140.007
1988	161.577	152.858	144.691	136.799	130.154	136.646
1989	164.889	151.447	143.938	139.84	138.409	146.39
1990	156.114	150.046	143.752	147.05	151.026	155.25
1991	175.515	163.684	153.866	147.12	146.319	148.565
1992	165.462	160.272	153.176	143.385	133.787	132.923
1993	154.209	146.901	140.627	134.468	129.118	130.81
1994	162.595	151.458	143.99	136.153	133.531	137.358
1995	173.954	164.396	157.368	152.037	147.69	152.238
1996	170.312	163.034	154.184	145.837	138.186	135.947
1997	163.077	152.992	145.911	143.447	142.21	141.859
1998	164.336	155.671	149.573	143.309	140.874	139.695
1999	157.066	150.139	144.141	136.89	132.056	135.263
2000	166.28	158.106	147.946	140.889	134.428	133.914
