Location id	1	2	3	4	5	6
Location latitude	47.5	47.5	47.5	47.5	47.5	47.5
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0
1951	0.998	0.998	0.995	0.292	0.158	0
1952	0.998	0.998	0.998	0.899	0.643	0.187
1953	0.998	0.998	0.998	0.998	0.998	0
1954	0.998	0.998	0.998	0.998	0.724	0.02
1955	0.685	0.853	0.375	0.998	0.998	0
1956	0.998	0.998	0.998	0.998	0.998	0.419
1957	0.998	0.999	0.998	0.998	0.998	0
1958	0.998	0.998	0.996	0.333	0.035	0
1959	0.853	0.998	0.998	0.004	0	0
1960	0.998	0.998	0.998	0.934	0.333	0.005
1961	0.998	0.998	0.998	0.998	0.998	0
1962	0.985	0	0	0.057	0.109	0.045
1963	0.998	0.998	0.997	0.998	0.998	0.998
1964	0.998	0.98	0.878	0.292	0.004	0
1965	0.998	0.999	0.998	0.998	0.998	0.998
1966	0.998	0.998	0.999	0.998	0.825	0
1967	0.998	0.998	0.998	0.997	0.643	0.035
1968	0.998	0.998	0.998	0.998	0.998	0.998
1969	0.998	0.998	0.998	0.998	0.998	0
1970	0.998	0.998	0.985	0.254	0.02	0
1971	0.998	0.998	0.998	0.998	0.918	0.005
1972	0.998	0.998	0.998	0.998	0.998	0.998
1973	0.998	0.947	0	0	0.02	0.002
1974	0.998	0.998	0.998	0.998	0.998	0.998
1975	0.995	0.995	0.878	0.998	0.643	0.035
1976	0.947	0.853	0.899	0.795	0.643	0.035
1977	0.998	0.998	0.998	0.998	0.761	0.219
1978	0.998	0.998	0.998	0.998	0.761	0.008
1979	0.998	0.998	0.998	0.985	0.292	0.002
1980	0.998	0.998	0.998	0.998	0.998	0.825
1981	0.998	0.998	0.998	0.998	0.998	0.998
1982	0.998	0.985	0.947	0.109	0.027	0.004
1983	0.934	0.947	0.878	0.998	0.998	0.008
1984	0.998	0.998	0.98	0.899	0.853	0.998
1985	0.998	0.998	0.998	0.998	0.132	0
1986	0.999	0.991	0.967	0.98	0.975	0.825
1987	0.998	0.998	0.998	0.999	0.947	0.158
1988	0.999	0.998	0.998	0.999	0.998	0.292
1989	0.998	0.998	0.998	0.825	0.057	0.002
1990	0.998	0.998	0.998	0.998	0.51	0.008
1991	0.853	0.998	0.998	0.998	0.158	0.011
1992	0.998	0.998	0.998	0.934	0.375	0.027
1993	0.998	0.998	0.998	0.998	0.975	0.219
1994	0.997	0.998	0.998	0.998	0.795	0.292
1995	0.98	0.985	0.998	0.998	0.947	0.219
1996	0.998	0.998	0.998	0.998	0.999	0.51
1997	0.998	0.998	0.999	0.998	0.132	0
1998	0.998	0.998	0.998	0.998	0.967	0.51
1999	0.998	0.998	0.998	0.998	0.991	0.035
2000	0.998	0.998	0.998	0.998	0.998	0.967
