Location id	1	2	3	4	5	6
Location latitude	47.5	47.5	47.5	47.5	47.5	47.5
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0
1951	0.997	0.997	0.998	0.998	0.999	0.999
1952	0.996	0.997	0.997	0.998	0.998	0.999
1953	0.996	0.997	0.998	0.998	0.999	0.999
1954	0.995	0.996	0.997	0.998	0.998	0.999
1955	0.995	0.997	0.998	0.999	0.999	0.999
1956	0.98	0.985	0.989	0.991	0.993	0.995
1957	0.996	0.998	0.998	0.999	0.999	0.999
1958	0.997	0.998	0.998	0.999	0.999	0.999
1959	0.998	0.998	0.999	0.999	0.999	0.999
1960	0.998	0.998	0.999	0.999	0.999	0.999
1961	0.998	0.999	0.999	0.999	1	0.999
1962	0.992	0.992	0.988	0.994	0.997	0.997
1963	0.992	0.994	0.995	0.997	0.998	0.998
1964	0.996	0.996	0.997	0.998	0.996	0.991
1965	0.996	0.997	0.998	0.998	0.999	0.999
1966	0.996	0.997	0.998	0.998	0.998	0.998
1967	0.993	0.997	0.998	0.997	0.998	0.998
1968	0.99	0.992	0.993	0.995	0.996	0.997
1969	0.996	0.996	0.997	0.998	0.998	0.996
1970	0.995	0.996	0.996	0.997	0.997	0.998
1971	0.996	0.997	0.997	0.998	0.998	0.999
1972	0.998	0.998	0.999	0.999	0.999	1
1973	0.995	0.996	0.996	0.996	0.997	0.992
1974	0.997	0.998	0.999	0.999	0.999	0.999
1975	0.996	0.997	0.998	0.999	0.999	0.999
1976	0.995	0.997	0.998	0.998	0.999	0.999
1977	0.997	0.998	0.998	0.999	0.999	0.999
1978	0.997	0.998	0.998	0.999	0.999	0.999
1979	0.994	0.996	0.996	0.997	0.998	0.998
1980	0.998	0.998	0.999	0.999	0.999	0.999
1981	0.996	0.997	0.998	0.998	0.999	0.999
1982	0.997	0.998	0.998	0.999	0.999	0.999
1983	0.996	0.997	0.998	0.999	0.999	0.999
1984	0.997	0.998	0.998	0.999	0.999	0.999
1985	0.983	0.988	0.99	0.992	0.993	0.963
1986	0.992	0.994	0.995	0.996	0.997	0.998
1987	0.99	0.993	0.994	0.996	0.997	0.997
1988	0.998	0.998	0.999	0.999	0.999	0.999
1989	0.997	0.998	0.999	0.999	0.999	0.999
1990	0.998	0.999	0.999	0.999	0.999	0.999
1991	0.995	0.997	0.998	0.998	0.998	0.999
1992	0.998	0.998	0.998	0.999	0.999	0.999
1993	0.997	0.998	0.998	0.999	0.999	0.999
1994	0.997	0.998	0.999	0.999	0.999	0.999
1995	0.992	0.997	0.998	0.999	0.999	0.999
1996	0.997	0.998	0.998	0.999	0.999	0.999
1997	0.997	0.997	0.998	0.998	0.997	0.996
1998	0.997	0.997	0.998	0.999	0.999	0.999
1999	0.997	0.997	0.998	0.998	0.999	0.999
2000	0.996	0.998	0.998	0.999	0.999	0.999
