Location id	1	2	3	4	5	6
Location latitude	53.1	53.1	53.1	53.1	53.1	53.1
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0
1951	118.186	124.424	365	365	365	365
1952	122.571	366	366	366	366	366
1953	99.649	96.49	112.906	365	365	365
1954	127.97	365	365	365	365	365
1955	121.874	120.834	124.805	365	365	365
1956	128.028	137.077	366	366	366	366
1957	365	365	365	365	365	365
1958	128.425	128.198	129.724	365	365	365
1959	114.032	365	365	365	365	365
1960	127.698	366	366	366	366	366
1961	365	365	365	365	365	365
1962	121.411	122.719	365	365	365	365
1963	112.536	109.735	107.428	105.724	103.923	365
1964	119.66	118.353	118.143	366	366	366
1965	120.961	119.764	365	365	365	365
1966	110.452	122.056	365	365	365	365
1967	128.485	365	365	365	365	365
1968	111.506	111.954	366	366	366	366
1969	123.156	122.558	122.187	122.188	365	365
1970	124.924	121.524	116.893	115.25	114.329	348.061
1971	126.474	365	365	365	365	365
1972	118.325	347.168	366	366	366	366
1973	124.362	140.073	365	365	365	365
1974	119.268	365	365	365	365	365
1975	137.706	365	365	365	365	365
1976	127.785	128.064	366	366	366	366
1977	118.145	137.313	365	365	365	365
1978	123.238	127.569	365	365	365	365
1979	124.113	119.582	118.384	119.794	365	365
1980	122.132	125.908	366	366	366	366
1981	105.089	102.696	135.781	365	365	365
1982	117.661	115.433	128.303	365	365	365
1983	129.189	365	365	365	365	365
1984	122.417	122.569	124.61	366	366	366
1985	121.797	123.475	122.568	365	365	365
1986	122.345	120.211	120.608	365	365	365
1987	123.799	120.911	120.353	365	365	365
1988	126.255	363.297	366	366	366	366
1989	135.983	365	365	365	365	365
1990	365	365	365	365	365	365
1991	104.903	135.561	365	365	365	365
1992	115.526	141.393	366	366	366	366
1993	115.905	120.436	365	365	365	365
1994	113.65	113.783	365	365	365	365
1995	132.647	365	365	365	365	365
1996	115.392	113.069	111.965	111.54	112.243	366
1997	114.133	129.311	136.33	365	365	365
1998	124.088	365	365	365	365	365
1999	111.594	115.993	365	365	365	365
2000	117.875	127.947	366	366	366	366
