Location id	1	2	3	4	5	6
Location latitude	53.1	53.1	53.1	53.1	53.1	53.1
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0
1951	58	79	364	365	365	365
1952	87	317	339	366	366	366
1953	40	46	76	365	365	365
1954	73	312	358	365	365	365
1955	61	70	87	345	365	365
1956	71	96	325	364	366	366
1957	317	346	365	365	365	365
1958	64	74	91	361	365	365
1959	72	329	365	365	365	365
1960	77	343	363	366	366	366
1961	321	349	365	365	365	365
1962	64	78	323	353	365	365
1963	44	47	51	56	62	344
1964	63	70	79	337	366	366
1965	61	71	322	349	365	365
1966	50	78	304	342	365	365
1967	75	329	364	365	365	365
1968	58	70	318	352	366	366
1969	47	56	67	78	332	352
1970	50	52	54	60	67	312
1971	75	315	365	365	365	365
1972	64	296	358	366	366	366
1973	65	99	338	365	365	365
1974	71	332	365	365	365	365
1975	100	334	365	365	365	365
1976	64	77	326	359	366	366
1977	59	97	334	365	365	365
1978	66	84	337	365	365	365
1979	57	61	67	77	353	365
1980	56	70	305	341	366	366
1981	53	59	107	339	358	365
1982	53	59	83	347	365	365
1983	82	317	345	365	365	365
1984	55	65	80	349	366	366
1985	59	69	77	321	360	365
1986	51	61	71	334	365	365
1987	69	74	81	339	365	365
1988	77	299	342	366	366	366
1989	94	334	365	365	365	365
1990	310	344	365	365	365	365
1991	53	88	324	362	365	365
1992	55	108	358	366	366	366
1993	63	88	322	357	365	365
1994	47	61	336	365	365	365
1995	87	317	345	365	365	365
1996	37	41	45	53	65	328
1997	48	76	101	327	365	365
1998	78	317	337	365	365	365
1999	51	68	321	357	365	365
2000	65	101	366	366	366	366
