Location id	1	2	3	4	5	6
Location latitude	53.1	53.1	53.1	53.1	53.1	53.1
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0
1951	52	53	54	55	57	58
1952	53	54	55	57	59	61
1953	51	51	52	53	54	56
1954	54	55	56	57	59	60
1955	53	54	55	56	58	59
1956	54	55	56	57	58	60
1957	53	54	55	56	58	60
1958	52	53	54	55	57	59
1959	53	54	55	57	59	61
1960	53	54	55	56	58	59
1961	53	54	55	56	58	60
1962	55	56	57	59	60	62
1963	54	54	54	55	56	57
1964	53	53	55	56	57	59
1965	52	53	54	55	57	58
1966	53	53	54	55	57	58
1967	52	54	55	56	58	60
1968	53	54	55	57	58	60
1969	53	54	55	56	57	59
1970	55	55	56	57	58	60
1971	53	53	55	56	58	59
1972	52	53	54	56	57	59
1973	51	52	53	54	55	57
1974	52	53	54	56	57	59
1975	52	53	54	56	57	59
1976	53	54	55	56	58	60
1977	52	53	54	55	57	59
1978	52	53	54	56	57	59
1979	53	54	54	55	56	58
1980	52	53	54	55	57	58
1981	52	53	54	55	57	58
1982	53	53	54	55	56	58
1983	54	55	56	58	59	61
1984	53	53	55	56	57	59
1985	53	54	55	56	57	58
1986	53	54	54	56	57	58
1987	53	53	54	55	56	58
1988	52	53	55	56	58	60
1989	52	53	54	56	57	59
1990	53	54	56	58	59	61
1991	52	53	54	55	56	58
1992	52	53	54	56	57	59
1993	51	52	53	54	56	57
1994	51	51	52	53	55	56
1995	52	53	54	55	57	59
1996	54	54	55	56	57	58
1997	52	52	53	54	55	57
1998	52	53	54	55	57	59
1999	52	52	53	54	56	57
2000	54	55	56	58	59	61
