Location id	1	2	3	4	5	6
Location latitude	53.1	53.1	53.1	53.1	53.1	53.1
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0
1951	120.792	115.544	112.351	106.009	102.099	97.894
1952	108.103	105.707	104.131	102.986	101.962	101.035
1953	107.365	101.304	95.451	92.975	91.413	89.534
1954	124.006	119.212	111.85	105.179	100.189	94.44
1955	123.38	120.22	118.431	115.101	108.26	103.344
1956	127.334	124.038	118.311	112.286	105.263	100.836
1957	113.709	106.994	98.262	93.945	91.69	88.717
1958	129.24	126.944	122.604	118.951	114.619	110.735
1959	103.393	99.028	93.778	90.987	89.239	87.683
1960	114.016	109.302	103.823	100.303	97.191	93.959
1961	102.974	98.272	95.214	91.165	88.482	84.974
1962	122.603	115.231	112.946	110.686	108.552	106.807
1963	119.616	112.994	109.026	106.097	101.565	99.353
1964	118.485	113.917	111.137	109.258	107.834	106.79
1965	123.249	118.205	111.957	106.476	101.423	97.598
1966	116.168	112.23	106.518	98.623	96.848	94.744
1967	114.291	106.503	101.603	96.648	93.073	89.554
1968	111.646	109.711	107.175	101.454	93.519	91.027
1969	128.343	124.487	121.878	117.145	114.275	110.754
1970	128.315	126.32	123.508	116.814	112.977	109.917
1971	124.325	115.077	111.181	107.226	103.669	99.384
1972	116.924	108.128	102.496	98.244	94.624	91.431
1973	124.138	120.063	114.623	107.247	100.521	94.902
1974	112.583	105.668	99.861	96.722	93.43	91.215
1975	124.222	118.502	113.612	110.548	106.069	102.491
1976	127.346	122.789	115.338	109.456	107.057	105.356
1977	119.867	114.795	109.636	102.171	93.594	86.483
1978	119.411	112.189	104.611	99.443	93.648	91.896
1979	131.779	124.62	115.31	110.461	104.384	101.904
1980	128.834	121.406	115.471	107.892	105.801	103.091
1981	108.473	101.274	97.263	92.538	90.581	88.36
1982	127.316	118.041	112.045	105.816	97.788	95.19
1983	116.328	112.075	108.568	106.754	102.995	98.971
1984	126.228	122.187	116.878	113.283	110.816	107.157
1985	126.002	116.859	108.798	103.098	98.764	95.813
1986	124.715	122.385	118.649	114.642	110.194	105.559
1987	124.027	119.626	116.665	112.94	109.139	106.188
1988	122.284	118.289	110.792	108.909	106.717	102.791
1989	108.734	103.089	100.573	97.428	90.776	88.133
1990	110.323	103.313	99.927	92.399	89.735	86.511
1991	110.777	102.325	97.958	93.827	90.56	84.876
1992	118.648	114.42	106.792	101.971	97.867	94.368
1993	115.682	113.755	111.318	107.615	103.497	97.403
1994	117.186	113.781	110.51	103.481	97.699	91.13
1995	121.066	115.558	113.33	111.352	105.587	101.186
1996	124.631	118.373	114.294	112.673	111.369	109.819
1997	122.204	117.149	111.093	102.965	97.533	92.805
1998	114.843	110.587	103.036	97.438	94.925	92.925
1999	115.77	111.023	101.35	97.313	94.425	92.008
2000	116.875	113.203	110.745	107.348	102.731	98.133
