Location id	1	2	3	4	5	6	7	8	9	10
Location latitude	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0
1951	0.998	0.967	0.998	0.98	0.999	0.986	0.998	0.991	0	0.994
1952	0.998	0.996	0.999	0.997	0.999	0.998	0.998	0	0	0
1953	0.997	0.991	0.998	0.994	0.998	0.996	0.999	0.997	0	0.997
1954	0.997	0.963	0.998	0.975	0.998	0.983	0	0	0	0
1955	0.999	0.994	0.999	0.995	0.999	0	0	0	0	0
1956	0.997	0.949	0.998	0.968	0.998	0.978	0.998	0	0	0
1957	0.998	0.992	0.998	0.996	0.999	0.997	0.999	0.998	0	0
1958	0.998	0.986	0.998	0.994	0.998	0.996	0.999	0.998	0	0.931
1959	0.998	0.998	0.998	0.998	0.998	0	0	0	0	0
1960	0.997	0	0.998	0	0.998	0	0	0	0	0
1961	0.998	0.994	0.998	0.996	0.998	0.997	0	0	0	0
1962	0.998	0.996	0.998	0.997	0.999	0.997	0.999	0	0	0
1963	0.996	0	0.997	0	0.998	0.78	0.998	0.883	0.998	0.927
1964	0.997	0	0.998	0	0.998	0	0.999	0	0	0
1965	0.998	0.988	0.998	0.992	0.998	0.995	0.999	0.997	0	0.998
1966	0.998	0.995	0.998	0.996	0.999	0	0	0	0	0
1967	0.997	0.949	0.998	0.967	0.999	0.978	0.998	0.985	0	0
1968	0.998	0.833	0.998	0.887	0.998	0.925	0.998	0.951	0	0
1969	0.998	0.952	0.998	0.968	0.999	0	0	0	0	0
1970	0.998	0.988	0.998	0.993	0.998	0.995	0.999	0.997	0	0.998
1971	0.997	0.811	0.998	0.867	0.998	0.906	0.998	0.934	0	0
1972	0.998	0.996	0.999	0.997	0.998	0.998	0.999	0.998	0	0
1973	0.998	0.993	0.999	0.996	0.999	0.997	0.999	0.998	0	0
1974	0.998	0.994	0.998	0.997	0.998	0.997	0.999	0	0	0
1975	0.998	0.834	0.998	0.979	0.998	0.992	0.998	0	0	0
1976	0.998	0.993	0.999	0.996	0.998	0.997	0.999	0.998	0	0
1977	0.998	0.991	0.999	0.996	0.999	0.997	0	0	0	0
1978	0.998	0.988	0.998	0.992	0.998	0.995	0.999	0.996	0	0
1979	0.998	0.995	0.998	0.996	0.999	0	0	0	0	0
1980	0.998	0.994	0.998	0.996	0.998	0.998	0	0.998	0	0
1981	0.998	0.973	0.998	0.983	0.999	0.989	0.999	0.993	0.999	0.995
1982	0.999	0.997	0.998	0.998	0.999	0	0	0	0	0
1983	0.997	0	0.998	0.82	0.999	0.877	0.999	0.914	0	0
1984	0.998	0.994	0.999	0.997	0.998	0.997	0.999	0.998	0	0.998
1985	0.998	0	0.998	0	0.998	0	0.998	0	0	0
1986	0.998	0.966	0.998	0.979	0.998	0.987	0.998	0.992	0	0.994
1987	0.998	0.921	0.998	0.945	0.999	0.962	0.998	0.973	0	0
1988	0.998	0.996	0.998	0.996	0.999	0	0	0	0	0
1989	0.998	0.992	0.999	0.996	0.999	0.997	0.998	0.998	0	0
1990	0.999	0	0.999	0	0	0	0	0	0	0
1991	0.998	0.956	0.999	0.984	0.998	0.993	0.999	0.996	0	0.998
1992	0.998	0.993	0.999	0.995	0.999	0.997	0.998	0.998	0	0.999
1993	0.998	0.995	0.998	0.997	0.999	0.997	0.998	0.998	0	0
1994	0.998	0.996	0.999	0.997	0.998	0.998	0.999	0.998	0	0
1995	0.998	0	0.999	0	0.998	0	0	0	0	0
1996	0.998	0.994	0.999	0.996	0.999	0	0.999	0	0	0
1997	0.999	0.997	0.999	0	0.999	0	0	0	0	0
1998	0.998	0.989	0.999	0.995	0.999	0.998	0	0	0	0
1999	0.998	0.992	0.998	0.995	0.998	0.997	0.998	0.997	0	0
2000	0.998	0.993	0.999	0.996	0.998	0.996	0.998	0.998	0	0
