Location id	1	2	3	4	5	6	7	8	9	10
Location latitude	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0
1951	0.999	0.969	0.999	0.981	1	0.988	1	0.992	0	0.995
1952	0.999	0.997	1	0.998	1	0.999	1	0.999	0	0
1953	0.999	0.992	0.999	0.995	1	0.997	1	0.998	0	0.999
1954	0.999	0.964	0.999	0.976	1	0.984	0	0	0	0
1955	0.999	0.994	1	0.996	1	0	0	0	0	0
1956	0.999	0.95	0.999	0.969	1	0.98	1	0.986	0	0
1957	0.999	0.993	1	0.997	1	0.999	1	0.999	0	0
1958	0.999	0.987	1	0.995	1	0.997	1	0.999	0	0.999
1959	1	0.999	1	0.999	1	0	0	0	0	0
1960	0.998	0.018	0.999	0.582	0.999	0.696	0	0	0	0
1961	0.999	0.995	1	0.997	1	0.998	0	0	0	0
1962	0.999	0.997	1	0.998	1	0.998	1	0	0	0
1963	0.998	0	0.999	0	0.999	0.781	1	0.884	1	0.928
1964	0.998	0	0.999	0	0.999	0.221	1	0.397	0	0
1965	0.999	0.989	0.999	0.994	1	0.997	1	0.998	0	0.999
1966	0.999	0.996	1	0.998	1	0	0	0	0	0
1967	0.999	0.95	0.999	0.967	1	0.979	1	0.986	0	0
1968	0.999	0.834	0.999	0.888	1	0.926	1	0.952	0	0
1969	0.999	0.953	0.999	0.969	1	0.978	0	0	0	0
1970	0.999	0.989	1	0.994	1	0.997	1	0.998	0	0.999
1971	0.999	0.812	0.999	0.868	0.999	0.908	1	0.935	0	0
1972	0.999	0.996	1	0.998	1	0.999	1	0.999	0	0
1973	0.999	0.994	1	0.997	1	0.999	1	0.999	0	0
1974	0.999	0.995	1	0.998	1	0.999	1	0	0	0
1975	0.999	0.835	1	0.98	1	0.994	1	0.998	0	0
1976	0.999	0.995	1	0.997	1	0.999	1	0.999	0	0.999
1977	1	0.992	1	0.997	1	0.999	0	0.999	0	0
1978	0.999	0.989	1	0.994	1	0.996	1	0.997	0	0
1979	0.999	0.996	1	0.998	1	0.998	0	0.999	0	0
1980	0.999	0.995	1	0.997	1	0.999	0	0.999	0	0
1981	0.999	0.974	0.999	0.985	1	0.991	1	0.994	1	0.996
1982	1	0.998	1	0.999	1	0.999	0	0	0	0
1983	0.998	0.652	0.999	0.822	1	0.878	1	0.915	0	0
1984	0.999	0.995	1	0.998	1	0.999	1	0.999	0	1
1985	0.998	0.641	0.999	0.732	0.999	0.801	1	0.854	0	0
1986	0.999	0.968	0.999	0.98	1	0.988	1	0.993	0	0.995
1987	0.999	0.922	0.999	0.946	1	0.963	1	0.975	0	0
1988	0.999	0.997	1	0.998	1	0.998	0	0	0	0
1989	0.999	0.993	1	0.996	1	0.998	1	0.999	0	0
1990	1	0.996	1	0	1	0	0	0	0	0
1991	0.999	0.957	1	0.985	1	0.994	1	0.998	0	0.999
1992	0.999	0.994	1	0.997	1	0.999	1	0.999	0	1
1993	0.999	0.996	1	0.998	1	0.999	1	0.999	0	0
1994	0.999	0.997	1	0.998	1	0.999	1	0.999	0	0
1995	0.999	0.997	1	0.998	1	0	0	0	0	0
1996	0.999	0.995	1	0.997	1	0.998	1	0.999	0	0
1997	1	0.998	1	0.998	1	0	0	0	0	0
1998	0.999	0.99	1	0.996	1	0.999	0	0	0	0
1999	0.999	0.994	1	0.997	1	0.998	1	0.999	0	0
2000	0.999	0.994	1	0.997	1	0.998	1	0.999	0	0
