Location id	1	2	3	4	5	6	7	8	9	10
Location latitude	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9	41.9
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0
1951	111.416	115.28	114.66	117.131	115.322	123.5	115.295	128.066	365	128.829
1952	103.844	109.376	108.776	109.117	113.009	113.574	114.526	150.023	366	366
1953	103.952	114.395	107.344	113.875	107.894	114.594	115.295	114.729	365	115.202
1954	104.378	121.481	115.589	126.121	125.653	131.631	365	365	365	365
1955	108.974	131.232	112.986	140.758	120.768	365	365	365	365	365
1956	107.874	126.54	109.082	126.843	110.292	131.173	127.234	176.077	366	366
1957	95.408	91.803	93.851	90.166	100.422	91.595	118.649	115.44	365	365
1958	101.507	107.649	103.147	111.475	112.341	112.221	133.062	131.547	365	159.682
1959	99.241	117.836	107.579	132.953	115.109	365	365	365	365	365
1960	97.75	107.589	101.523	108.268	111.99	117.851	366	366	366	366
1961	99.191	96.385	102.447	97.956	112.279	141.419	365	365	365	365
1962	103.994	126.286	110.082	129.973	123.261	143.366	142.074	365	365	365
1963	102.498	106.969	100.876	105.714	105.405	106.677	110.954	108.354	123.265	110.746
1964	112.07	118.752	114.094	119.659	113.717	133.039	133.135	152.465	366	366
1965	104.976	119.115	112.635	118.897	114.644	122.04	116.894	124.064	365	129.905
1966	100.737	119.215	106.13	134.502	113.035	365	365	365	365	365
1967	99.22	96.694	97.753	94.62	99.977	99.324	110.463	106.771	365	365
1968	110.45	113.524	110.678	112.92	113.502	123.438	124.855	138.217	366	366
1969	106.654	127.148	114.72	135.439	118.059	155.779	365	365	365	365
1970	106.977	120.383	107.259	121.694	109.398	126.248	116.93	135.896	365	152.74
1971	112.231	122.468	115.073	130.837	116.449	136.225	127.008	143.779	365	365
1972	103.313	107.68	100.229	106.479	104.296	106.047	116.366	120.804	366	366
1973	111.852	122.582	114.584	124.659	112.553	128.207	118.927	142.211	365	365
1974	100.323	106.693	108.078	123.658	112.209	133.952	120.158	365	365	365
1975	99.759	108.629	104.013	125.2	113.574	136.923	143.147	155.624	365	365
1976	102.543	108.956	104.946	108.81	107.579	120.006	117.851	128.845	366	170.87
1977	95.196	108.637	98.805	116.655	103.139	148.608	365	183.155	365	365
1978	109.39	119.33	107.069	118.232	107.488	116.503	140.928	145.299	365	365
1979	101.974	133.283	113.388	135.838	121.998	154.797	365	173.174	365	365
1980	101.176	102.522	102.204	110.203	104.48	125.744	366	143.763	366	366
1981	98.765	104.404	104.992	103.293	106.193	104.269	107.807	103.552	119.562	112.414
1982	102.398	123.012	109.157	138.08	117.425	166.33	365	365	365	365
1983	106.975	117.064	109.773	119.17	114.171	121.023	119.244	138.695	365	365
1984	111.356	123.557	118.84	130.71	119.997	136.351	123.663	138.497	366	141.415
1985	109.996	120.756	113.098	127.853	116.484	142.248	141.411	183.823	365	365
1986	105.41	119.133	105.587	117.977	104.941	116.433	109.854	119.27	365	134.462
1987	104.551	108.54	111.09	110.457	115.953	123.915	118.91	144.39	365	365
1988	105.297	129.243	109.005	131.982	111.302	154.862	366	366	366	366
1989	105.605	105.185	106.722	104.737	105.599	107.31	106.453	132.089	365	365
1990	105.843	154.493	114.725	365	169.638	365	365	365	365	365
1991	102.49	111.449	106.491	110.209	106.065	110.564	111.164	112.937	365	114.213
1992	101.087	104.967	103.212	105.273	110.968	109.613	117.403	115.71	366	145.173
1993	109.491	121.46	114.715	127.568	116.233	133.099	124.863	148.94	365	365
1994	99.659	100.427	100.465	101.627	106.134	110.546	116.115	114.539	365	365
1995	110.599	142.982	117.377	154.433	126.299	365	365	365	365	365
1996	105.259	127.875	112.148	132.848	118.135	138.134	132.808	155.793	366	366
1997	99.987	117.825	103.715	169.901	108.54	365	365	365	365	365
1998	103.397	112.899	109.578	114.635	115.027	147.901	365	365	365	365
1999	100.782	106.729	102.638	109.048	104.842	112.194	110.413	121.109	365	365
2000	98.556	101.092	101.03	101.393	102.082	101.974	120.884	118.424	366	366
