Location id	1	2	3	4	5	6	7	8	9	10
Location latitude	53.1	53.1	53.1	53.1	53.1	53.1	53.1	53.1	53.1	53.1
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0
1951	0.998	0	0.999	0.999	0.998	0.999	0.999	0.998	0.999	0.999
1952	0.999	0	0.999	0.999	0.999	0.998	0.998	0.998	0.998	0.998
1953	0.998	0	0.999	0	0.998	0	0.999	0	0.998	0
1954	0.998	0	0.998	0	0.998	0.998	0.998	0.999	0.998	0.999
1955	0.999	0	0.999	0	0.999	0	0.999	0	0.998	0
1956	0.998	0	0.999	0	0.998	0	0.999	0	0.998	0
1957	0.998	0	0.998	0.998	0.999	0.999	0.999	0.999	0.999	0.998
1958	0.999	0	0.999	0	0.999	0	0.999	0	0.998	0
1959	0.999	0	0.998	0	0.998	0	0.998	0	0.998	0
1960	0.999	0.998	0.999	0.999	0.999	0.999	0.999	0.998	0.998	0.998
1961	0.999	0	0.998	0.998	0.998	0.998	0.998	0.999	0.999	0.998
1962	0.999	0	0.998	0.999	0.998	0.999	0.998	0.998	0.998	0.998
1963	0.999	0	0.999	0	0.999	0	0.999	0	0.999	0
1964	0.998	0.999	0.998	0.999	0.998	0.999	0.999	0.999	0.999	0.998
1965	0.999	0.998	0.998	0.999	0.998	0.999	0.998	0.999	0.998	0.998
1966	0.999	0	0.999	0	0.999	0	0.998	0	0.998	0
1967	0.999	0.998	0.998	0.999	0.999	0.998	0.999	0.999	0.998	0.998
1968	0.998	0	0.999	0	0.998	0	0.999	0	0.999	0
1969	0.999	0	0.999	0	0.999	0	0.998	0	0.999	0.999
1970	0.999	0	0.998	0	0.999	0	0.998	0	0.999	0
1971	0.999	0	0.999	0	0.999	0	0.998	0	0.999	0
1972	0.998	0	0.999	0	0.998	0.998	0.999	0.999	0.999	0.999
1973	0.998	0.998	0.999	0.999	0.998	0.998	0.998	0.999	0.999	0.998
1974	0.999	0.998	0.999	0.999	0.999	0.999	0.998	0.999	0.999	0.998
1975	0.999	0.999	0.999	0.998	0.999	0.999	0.999	0	0.998	0
1976	0.999	0	0.999	0	0.999	0.999	0.999	0.998	0.998	0.998
1977	0.998	0	0.999	0	0.998	0.999	0.999	0.999	0.998	0.999
1978	0.998	0	0.998	0	0.999	0	0.999	0	0.998	0
1979	0.998	0	0.999	0	0.999	0	0.999	0	0.998	0
1980	0.998	0.998	0.999	0.999	0.999	0.998	0.999	0.998	0.998	0.999
1981	0.998	0	0.998	0	0.998	0.998	0.998	0.999	0.999	0.998
1982	0.999	0	0.999	0	0.998	0	0.999	0	0.999	0
1983	0.999	0	0.998	0	0.998	0.998	0.999	0.999	0.999	0.998
1984	0.999	0.998	0.999	0.999	0.999	0.999	0.998	0.998	0.998	0.999
1985	0.999	0	0.998	0	0.998	0	0.999	0	0.999	0
1986	0.998	0	0.999	0	0.999	0	0.998	0	0.999	0
1987	0.998	0	0.998	0	0.999	0	0.999	0	0.998	0
1988	0.999	0.999	0.999	0.999	0.998	0.998	0.998	0.999	0.999	0.998
1989	0.999	0.999	0.999	0.999	0.999	0.998	0.998	0.999	0.998	0.998
1990	0.998	0.999	0.999	0.998	0.998	0.998	0.998	0.998	0.999	0.998
1991	0.999	0	0.998	0.999	0.998	0.999	0.999	0.998	0.998	0.998
1992	0.999	0.998	0.999	0.999	0.999	0.998	0.999	0.999	0.999	0.998
1993	0.999	0.998	0.998	0.998	0.998	0.999	0.999	0.999	0.999	0.998
1994	0.999	0	0.998	0	0.998	0	0.998	0	0.998	0
1995	0.998	0.999	0.999	0.998	0.999	0.999	0.999	0.999	0.998	0.999
1996	0.998	0	0.998	0	0.999	0	0.999	0	0.998	0.998
1997	0.999	0	0.998	0	0.998	0	0.998	0	0.999	0
1998	0.999	0.999	0.998	0.999	0.999	0.999	0.999	0.999	0.998	0.998
1999	0.999	0.998	0.998	0.999	0.998	0.999	0.999	0.999	0.998	0.999
2000	0.998	0.999	0.998	0.998	0.999	0.999	0.999	0.998	0.999	0.998
