Location id	1	2	3	4	5	6	7	8	9	10
Location latitude	53.1	53.1	53.1	53.1	53.1	53.1	53.1	53.1	53.1	53.1
Location longitude	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0
1951	119.21	143.363	365	365	365	365	365	365	365	365
1952	126.529	366	366	366	366	366	366	366	366	366
1953	107.452	105.103	124.559	144.657	365	365	365	365	365	365
1954	126.123	365	365	365	365	365	365	365	365	365
1955	121.747	122.858	124.014	139.622	365	350.606	365	365	365	365
1956	122.7	355.113	366	366	366	366	366	366	366	366
1957	365	365	365	365	365	365	365	365	365	365
1958	125.93	131.325	128.776	134.028	365	365	365	365	365	365
1959	120.795	365	365	365	365	365	365	365	365	365
1960	126.113	366	366	366	366	366	366	366	366	366
1961	365	365	365	365	365	365	365	365	365	365
1962	121.324	130.437	365	365	365	365	365	365	365	365
1963	113.835	119.293	111.732	110.246	111.328	107.664	365	105.682	365	111.096
1964	121.036	118.933	122.941	120.137	366	357.716	366	366	366	366
1965	121.078	145.565	365	365	365	365	365	365	365	365
1966	113.5	134.561	365	365	365	365	365	365	365	365
1967	126.089	365	365	365	365	365	365	365	365	365
1968	114.841	122.254	366	366	366	366	366	366	366	366
1969	121.044	127.02	121.884	125.055	127.041	123.784	365	123.154	365	365
1970	120.344	127.299	117.823	125.815	118.725	123.448	365	119.268	365	116.53
1971	122.662	365	365	365	365	365	365	365	365	365
1972	120.158	366	366	366	366	366	366	366	366	366
1973	124.174	145.994	365	365	365	365	365	365	365	365
1974	120.922	365	365	365	365	365	365	365	365	365
1975	365	365	365	365	365	365	365	365	365	365
1976	124.362	136.999	136.426	366	366	366	366	366	366	366
1977	119.744	143.355	365	365	365	365	365	365	365	365
1978	123.927	144.431	365	365	365	365	365	365	365	365
1979	119.867	133.242	120.173	129.576	365	126.343	365	143.546	365	365
1980	123.223	135.972	366	149.293	366	363.896	366	366	366	366
1981	113.248	101.128	365	135.742	365	365	365	365	365	365
1982	116.964	137.785	125.4	146.966	365	365	365	365	365	365
1983	125.877	365	365	365	365	365	365	365	365	365
1984	121.399	127.242	126.413	127.47	366	366	366	366	366	366
1985	118.134	144.987	124.36	144.711	365	358.666	365	365	365	365
1986	120.697	128.78	121.554	132.258	365	365	365	365	365	365
1987	121.893	164.744	121.37	365	365	365	365	365	365	365
1988	125.591	366	366	366	366	366	366	366	366	366
1989	129.613	365	365	365	365	365	365	365	365	365
1990	365	365	365	365	365	365	365	365	365	365
1991	116.1	159.42	365	365	365	365	365	365	365	365
1992	118.638	353.632	366	366	366	366	366	366	366	366
1993	118.395	120.357	365	365	365	365	365	365	365	365
1994	114.638	129.886	127.415	331.178	365	365	365	365	365	365
1995	130.728	365	365	365	365	365	365	365	365	365
1996	115.844	115.928	114.588	113.801	116.732	112.816	366	112.837	366	112.702
1997	115.679	137.284	130.207	137.665	365	363.828	365	365	365	365
1998	122.677	365	365	365	365	365	365	365	365	365
1999	113.723	123.787	365	365	365	365	365	365	365	365
2000	118.406	366	366	366	366	366	366	366	366	366
